Reference;Price;Purchase
AC-500-AH-BK;73,162602;43,8975612
AC-500-AH-BL;73,162602;43,8975612
AC-500-AH-RD;73,162602;43,8975612
AC-500-CH-BK;89,422764;53,6536584
AC-500-CH-BL;89,422764;53,6536584
AC-500-CH-RD;89,422764;53,6536584
AC-500-QS;40,642276;24,3853656
AC-500-RUC;180,479675;108,287805
AC-500-TB;65,03252;39,019512
AC-500-THK-BK;52,837398;31,7024388
AC-500-THK-BL;52,837398;31,7024388
AC-500-THK-RD;52,837398;31,7024388
AC-500-VRH-BK;22,756098;13,6536588
AC-500-VRH-BL;22,756098;13,6536588
AC-500-VRH-RD;22,756098;13,6536588
ACSP1;30,89;18,534
AC-18-DP;252,02;151,212
AC-180-CPA;48,699187;29,2195122
AC-180-DB;34,95122;20,970732
AC-180-EM;89,422764;53,6536584
AC-180-EXM;345,520325;207,312195
AC-180S-TH-BK;32,512195;19,507317
AC-180S-TH-BL;32,512195;19,507317
AC-180S-TH-RD;32,512195;19,507317
AC-18FW-DP;154,46;92,676
AC-200-BT;30,89;18,534
AC-200-CAN-BK;28,447154;17,0682924
AC-200-CAN-BL;28,447154;17,0682924
AC-200-CAN-RD;28,447154;17,0682924
AC-200-CFA;27,09;16,254
AC-200-CFA-KIT;35,22;21,132
AC-200-CH-BK;134,143008;80,4858048
AC-200-CH-BL;134,143008;80,4858048
AC-200-CH-RD;134,143008;80,4858048
AC-200-CP-4;89,422764;53,6536584
AC-200-CP-5;111,373984;66,8243904
AC-200-CP-6;133,325203;79,9951218
AC-200-DB;81,29;48,774
AC-200-DP;243,89;146,334
AC-200-DVBO;20,32;12,192
AC-200-EM;89,422764;53,6536584
AC-200-EVAP;21,94;13,164
AC-200-FD;52,837398;31,7024388
AC-200-HPFP;552,837398;331,7024388
AC-200-HS;24,382114;14,6292684
AC-200-IC;487,796748;292,6780488
AC-200-IT;203,243902;121,9463412
AC-200-ND;16,25;9,75
AC-200-OSA;30;18
AC-200-PCVCC;69,1;41,46
AC-200-PCVD;73,16;43,896
AC-200-PP;89,422764;53,6536584
AC-200-QS;81,292683;48,7756098
AC-200-SF;138,203252;82,9219512
AC-200-TB;97,552846;58,5317076
AC-200-TBH-BK;20,317073;12,1902438
AC-200-TBH-BL;20,317073;12,1902438
AC-200-TBH-RD;20,317073;12,1902438
AC-200-THK-BK;138,203252;82,9219512
AC-200-THK-BL;138,203252;82,9219512
AC-200-THK-RD;138,203252;82,9219512
AC-200-TM;81,292683;48,7756098
AC-200-TP;121,94;73,164
AC-200-VRA;32,512195;19,507317
AC-200-VRH-BK;25,195122;15,1170732
AC-200-VRH-BL;25,195122;15,1170732
AC-200-VRH-RD;25,195122;15,1170732
AC-200K03-MD;73,162602;43,8975612
AC-200K03-OT;154,94;92,964
AC-200K04-MD;73,162602;43,8975612
AC-200K04-OT;113,813008;68,2878048
AC-200R-DP;270,99;162,594
AC-211-CFA;27,09;16,254
AC-211-OT;105,682927;63,4097562
AC-250-CH-BK;211,373984;126,8243904
AC-250-CH-RD;211,373984;126,8243904
AC-250-IP;130,073171;78,0439026
AC-250-THK;81,292683;48,7756098
AC-27-DEL;21,943089;13,1658534
AC-27-DP;268,21;160,926
AC-27-TI;162,593496;97,5560976
AC-27-YH;73,162602;43,8975612
AC-AU-04BK;36,577236;21,9463416
AC-B82-DP;121,94;73,164
AC-B8S-EXM;487,796748;292,6780488
AC-B9RS-DP;487,796748;292,6780488
AC-B9S-DP;406,495935;243,897561
AC-B9S-DPHS;487,795935;292,677561
AC-B9S-INLET;89,422764;53,6536584
AC-C7RS-DP;463,406504;278,0439024
AC-C8RS-DP;504,056911;302,4341466
AC-DAZA-DP;325,195122;195,1170732
AC-DAZA-IM;2032,512195;1219,507317
AC-IS-TB;47,95935;28,77561
AC-KC-AU-RSK-BK;16,25;9,75
AC-KC-AU-RSK-BL;16,25;9,75
AC-MK4-FU;97,55;58,53
AC-MK45-RU-BK;89,42;53,652
AC-MK45-RU-RD;89,42;53,652
AC-MK5-FU-BL;97,552846;58,5317076
AC-MK5-FU-RD;97,552846;58,5317076
AC-MK7-BT;26,821138;16,0926828
AC-MK7-CH-BK;52,837398;31,7024388
AC-MK7-CH-BL;52,837398;31,7024388
AC-MK7-CH-RD;52,837398;31,7024388
AC-MK7-CL;81,292683;48,7756098
AC-MK7-CP-4;121,943089;73,1658534
AC-MK7-CP-5;152,837398;91,7024388
AC-MK7-CP-6;183,731707;110,2390242
AC-MK7-DI.A;34,95122;20,970732
AC-MK7-DI.B;34,95122;20,970732
AC-MK7-DP;288,609756;173,1658536
AC-MK7-FPT;10,560976;6,3365856
AC-MK7-FU-BK;89,422764;53,6536584
AC-MK7-FU-P;89,422764;53,6536584
AC-MK7-FU-RD;89,422764;53,6536584
AC-MK7-GFH;48,772358;29,2634148
AC-MK7-IM;487,796748;292,6780488
AC-MK7-IND-BK;52,84;31,704
AC-MK7-IND-BL;52,84;31,704
AC-MK7-IND-RD;52,84;31,704
