reference;wholesale_price_dollar;price_dollar;price_displayed_dollar;wholesale_price;price;;;discount
1CCAR01F22--;1176,75;2615;2615;1176,75;2615;;;0
1CCBM21F24--;630;1400;1400;630;1400;;;0
1CCBM05B24--;675;1500;1500;675;1500;;;0
1CCBM16G24-A;720;1600;1600;720;1600;;;0
1CCBM06F24-A;1822,5;4050;4050;1822,5;4050;;;0
ARMABMW535-A;541,75;985;985;541,75;985;;;0
ARMABM8235-A;541,75;985;985;541,75;985;;;0
ARMABMWE9X-A;508,2;924;924;508,2;924;;;0
ARMABMW335-A;541,2;984;984;541,2;984;;;0
ARMABMW528-A;726;1320;1320;726;1320;;;0
ARMAF10535-A;756,25;1375;1375;756,25;1375;;;0
ARMAF10535-S;943,8;1716;1716;943,8;1716;;;0
ARMABMWF20-A;605;1100;1100;605;1100;;;0
ARMABMWF30-A;665,5;1210;1210;665,5;1210;;;0
ARMAF30328-A;605;1100;1100;605;1100;;;0
ARMABM3034-A;665,5;1210;1210;665,5;1210;;;0
ARMABMWF30-A;665,5;1210;1210;665,5;1210;;;0
ARMABM3020-A;605;1100;1100;605;1100;;;0
ARMABMF225-A;544,5;990;990;544,5;990;;;0
ARMABM3034-A;665,5;1210;1210;665,5;1210;;;0
ARMABMWX6G-A;783,75;1425;1425;783,75;1425;;;0
ARMABM92M3-A;677,6;1232;1232;677,6;1232;;;0
ARMABMF10M-A;1019,7;1854;1854;1019,7;1854;;;0
ARMABM82M4-A;1207,25;2195;2195;1207,25;2195;;;0
ARMABM87M2-A;786,5;1430;1430;786,5;1430;;;0
CG85-02-0C26;1070,85;1947;1947;1070,85;1947;;;0
ARMABMG2033-A;664,4;1208;1208;664,4;1208;;;0
ARMABMG2033-3/4;317,9;578;578;317,9;578;;;0
ARMABM2134-A;664,4;1208;1208;664,4;1208;;;0
CG85-02-0022;514,25;935;935;514,25;935;;;0
ARMABMG0X4-A;514,25;935;935;514,25;935;;;0
ARMAMIM135-A;695,75;1265;1265;695,75;1265;;;0
ARMABMG0X6-A;641,3;1166;1166;641,3;1166;;;0
ARMABG82M4-A-3/4;869;1580;1580;869;1580;;;0
ARMABG82M4-A;539;980;980;539;980;;;0
ARMABG82M4-3/4;385;700;700;385;700;;;0
ARMABG82M4-5;187;340;340;187;340;;;0
ARMAB08F20--;262,5;525;525;262,5;525;;;0
ARMAB08F201-;328;656;656;328;656;;;0
"1CCBM32G20--
1CCBM32G203-";94,5;189;189;94,5;189;;;0
"1CCBM32G201-
1CCBM32G202-";94,5;189;189;94,5;189;;;0
"1CCBM32G204-
1CCBM32G205-";94,5;189;189;94,5;189;;;0
"1CCBM32G19-1
1CCBM32G19C1";37;74;74;37;74;;;0
"1CCBM32G19C1
1CCBM32G19R1";37;74;74;37;74;;;0
"1CCBM32G19C2
1CCBM32G19R2";37;74;74;37;74;;;0
1CCBM15F24-A;73,5;147;147;73,5;147;;;0
1CCBM15F241-A;73,5;147;147;73,5;147;;;0
1CCBM15F242-A;73,5;147;147;73,5;147;;;0
1CCBM52F24-A;209;418;418;209;418;;;0
1CCBM52F24-C;423,5;847;847;423,5;847;;;0
1CCBM52F24-S;487,5;975;975;487,5;975;;;0
AR-54F-026-A;245;490;490;245;490;;;0
1CCBZ21F17--A;360;800;800;360;800;;;0
1CCBZ05B17--;427,5;950;950;427,5;950;;;0
1CCBZ16G17-L /R;427,5;950;950;427,5;950;;;0
1CCBZ10B17--;189;420;420;189;420;;;0
1CCBZ01F17--;1120,5;2490;2490;1120,5;2490;;;0
ARMABZA250G-A;490,05;891;891;490,05;891;;;0
ARMABZA450G-A;662,75;1205;1205;662,75;1205;;;0
ARMABZC180-A;242;440;440;242;440;;;0
ARMABZC250-A;393,25;715;715;393,25;715;;;0
ARMABZC180-A;242;440;440;242;440;;;0
ARMABZE250-A;484;880;880;484;880;;;0
ARMABZC250-A;393,25;715;715;393,25;715;;;0
ARMABZC180-A;242;440;440;242;440;;;0
ARMABZCL63-A;1573;2860;2860;1573;2860;;;0
ARMABZCL63-C;1149,5;2090;2090;1149,5;2090;;;0
ARMAW17763-A;1573;2860;2860;1573;2860;;;0
ARMABZAMGT-A;1936;3520;3520;1936;3520;;;0
ARMABZA250S-A;592,9;1078;1078;592,9;1078;;;0
ARMABZM264-A;411,4;748;748;411,4;748;;;0
ARMABZE53S-A;1149,5;2090;2090;1149,5;2090;;;0
ARMACLSE53-A;1149,5;2090;2090;1149,5;2090;;;0
ARMABZGT53-A;1149,5;2090;2090;1149,5;2090;;;0
ARMABZGL63-A;1573;2860;2860;1573;2860;;;0
ARMAW2E63S-A;1573;2860;2860;1573;2860;;;0
ARMABZS63S-A;1573;2860;2860;1573;2860;;;0
ARMABZA450S-A;393,25;715;715;393,25;715;;;0
ARMABZA450S-S;471,9;858;858;471,9;858;;;0
ARMABZGL53-A;1149,5;2090;2090;1149,5;2090;;;0
ARMABZ0630-R;533,5;970;970;533,5;970;;;0
ARMABZC63S-A;1097,25;1995;1995;1097,25;1995;;;0
ARMABZC63S-B;814;1480;1480;814;1480;;;0
ARMABZ0643-A;489,5;890;890;489,5;890;;;0
ARMABZ0643-2;165;300;300;165;300;;;0
"1CCBZ32G15--
1CCBZ32G15-1";94,5;189;189;94,5;189;;;0
"1CCBZ15F15-LR
1CCBZ15F151LR";63;126;126;63;126;;;0
"1CCBZ15F152LR
1CCBZ15F154LR";63;126;126;63;126;;;0
"1CCBZ15F153LR
1CCBZ15F155LR";63;126;126;63;126;;;0
1CCPS21F07-A;810;1800;1800;810;1800;;;0
1CCPS05B07--;720;1600;1600;720;1600;;;0
1CCPS16G07-A;675;1500;1500;675;1500;;;0
1CCPS05B071L/R;315;700;700;315;700;;;0
5CCPS32G07--;32,4;72;72;32,4;72;;;0
1CCPS30B07--;96,75;215;215;96,75;215;;;0
1CCPS29F07-L /R;117;260;260;117;260;;;0
1CCPS05B08--;576;1280;1280;576;1280;;;0
"1CCPS05B081R/L
1CCPS05B08--";765;1700;1700;765;1700;;;0
1CCPS05B08--;405;900;900;405;900;;;0
1CCPS05B081R/L;405;900;900;405;900;;;0
1CCPS16G08-A;450;1000;1000;450;1000;;;0
1CCPS10B08--;418,5;930;930;418,5;930;;;0
1CCPS10B08--;1611,9;3582;3582;1611,9;3582;;;0
1CCPS10B08--;1878,075;4173,5;4173,5;1878,075;4173,5;;;0
ARMAPANA36-A;919,6;1672;1672;919,6;1672;;;0
ARMAPSPANA-A;919,6;1672;1672;919,6;1672;;;0
ARMAMACA20-A;635,25;1155;1155;635,25;1155;;;0
ARMAMACA30-A;844,8;1536;1536;844,8;1536;;;0
ARMAPORS997-A;1210;2200;2200;1210;2200;;;0
ARMAPORS991-A;1210;2200;2200;1210;2200;;;0
ARMAPS991RS-A;1210;2200;2200;1210;2200;;;0
ARMACAYEE3-A;738,1;1342;1342;738,1;1342;;;0
1CCPS32G071-;262,5;525;525;262,5;525;;;0
1CCPS32G07-A;241,5;483;483;241,5;483;;;0
1CCTY21F09-A;486;1080;1080;486;1080;;;0
1CCTY05B09-A;486;1080;1080;486;1080;;;0
1CCTY16G09-A;382,5;850;850;382,5;850;;;0
1CCTY13F10-R/L;540;900;900;540;900;;;0
1CCTY16G10-R/L;402;670;670;402;670;;;0
1CCTY05B10-R/L;456;760;760;456;760;;;0
1CCTY13B10-R/L;414;690;690;414;690;;;0
1CCTY13B10-;822;1370;1370;822;1370;;;0
1CCTY10B10--;324;540;540;324;540;;;0
1CCTY13B10-;1722;2870;2870;1722;2870;;;0
1CCTY13B10-;2028;3380;3380;2028;3380;;;0
ARMATYFT86-A;514,25;935;935;514,25;935;;;0
ARMATYYAGR-A;429;780;780;429;780;;;0
ARMASBGR86-R;374;680;680;374;680;;;0
ARMASBGR86-A;319;580;580;319;580;;;0
1CCTY52F01-A;209;418;418;209;418;;;0
SP-TY55G01-A;28,5;57;57;28,5;57;;;0
1CCTY39B09-A;210;420;420;210;420;;;0
SB-TY40F09-A;24;48;48;24;48;;;0
1CCTY40F09-A;75;150;150;75;150;;;0
ARMATYALTI-A;229,9;418;418;229,9;418;;;0
ARMAGOLF6G-A;441,65;803;803;441,65;803;;;0
ARMAADA318-A;598,95;1089;1089;598,95;1089;;;0
ARMAADA4B8-A;420,75;765;765;420,75;765;;;0
ARMAAA4B85-A;420,75;765;765;420,75;765;;;0
ARMAAUDIA5-A;420,75;765;765;420,75;765;;;0
ARMAAA5B85-A;420,75;765;765;420,75;765;;;0
ARMAADA4B9-A;605;1100;1100;605;1100;;;0
ARMAADA4B9-B;605;1100;1100;605;1100;;;0
ARMAAUDIS4-A;653,4;1188;1188;653,4;1188;;;0
ARMAAUDIS5-A;653,4;1188;1188;653,4;1188;;;0
ARMAAUDITT-A;598,95;1089;1089;598,95;1089;;;0
ARMAAUDIS6-B;726;1320;1320;726;1320;;;0
ARMAAUDIA7-A;693;1260;1260;693;1260;;;0
ARMAAD0RS3-A;756,25;1375;1375;756,25;1375;;;0
ARMAAD08VA-A;756,25;1375;1375;756,25;1375;;;0
ARMAAD0RS5-A;847;1540;1540;847;1540;;;0
ARMAAD0RS5-7;363;660;660;363;660;;;0
ARMAAD0RS6-A;847;1540;1540;847;1540;;;0
ARMAADS5B9-A;665,5;1210;1210;665,5;1210;;;0
ARMAAD0RS4-A;665,5;1210;1210;665,5;1210;;;0
ARMAADR6C8-A;632,5;1150;1150;632,5;1150;;;0
ARMAAD0RS4-1;88;176;176;88;176;;;0
ARMAFER458-A;2722,5;4950;4950;2722,5;4950;;;0
ARMAFER488-A;2722,5;4950;4950;2722,5;4950;;;0
ARMAFDKU25-A;405,35;737;737;405,35;737;;;0
1CCFD06F01-A;211,75;385;385;211,75;385;;;0
1CCFD08F01--;165;330;330;165;330;;;0
ARMAFDMSTG-A;350,9;638;638;350,9;638;;;0
ARMAMSTG50-A;350,9;638;638;350,9;638;;;0
ARMAFDFI10-A;229,9;418;418;229,9;418;;;0
ARMAFDFIST-A;229,9;418;418;229,9;418;;;0
ARMAFDMK20-A;229,9;418;418;229,9;418;;;0
ARMAHDATYR-A;665,5;1210;1210;665,5;1210;;;0
ARMATYPFK8-A;665,5;1210;1210;665,5;1210;;;0
ARMAHDCR15-A;423,5;770;770;423,5;770;;;0
ARMAHDS660-A;229,9;418;418;229,9;418;;;0
ARMAHDAFIT-A;229,9;418;418;229,9;418;;;0
ARMABZA250G-A;490,05;891;891;490,05;891;;;0
ARMAINFQ50-A;484;880;880;484;880;;;0
ARMAIS200T-A;544,5;990;990;544,5;990;;;0
ARMANX200T-A;514,25;935;935;514,25;935;;;0
ARMANX200T-3;90,75;165;165;90,75;165;;;0
ARMAMAGIQ4-A;847;1540;1540;847;1540;;;0
ARMAMINR60-A;405,35;737;737;405,35;737;;;0
ARMAMINF56-A;544,5;990;990;544,5;990;;;0
ARMAMINF56-A;544,5;990;990;544,5;990;;;0
ARMANS400Z-L/R;429;780;780;429;780;;;0
ARMASKSC10-A;302,5;550;550;302,5;550;;;0
ARMASKSC15-A;302,5;550;550;302,5;550;;;0
ARMASBGR86-R;374;680;680;374;680;;;0
ARMASBGR86-A;319;580;580;319;580;;;0
ARMAGOLF6G-B;441,65;803;803;441,65;803;;;0
ARMAGOLF6R-A;511,5;930;930;511,5;930;;;0
ARMAGOLF71-A;471,9;858;858;471,9;858;;;0
ARMAGOLF7G-A;598,95;1089;1089;598,95;1089;;;0
ARMAVWTG14-A;441,65;803;803;441,65;803;;;0
ARMAVWTG20-A;441,65;803;803;441,65;803;;;0
ARMAVWTG30-A;514,25;935;935;514,25;935;;;0
ARMAGOLF8G-B;429;780;780;429;780;;;0
ARMAGOLF8G-A;269,5;490;490;269,5;490;;;0
ARMAGOLF8G-C;220;400;400;220;400;;;0
1CCVW08F04--;253;460;460;253;460;;;0
1CCVW08F04-R;308;560;560;308;560;;;0
CS-AR60021-A;63,8;116;116;63,8;116;;;0
1CCVW08F02--;121;242;242;121;242;;;0
1CCVW08F02-C;133;266;266;133;266;;;0
1CCVW08F03--;185;370;370;185;370;;;0
1CCVW08F041-;115;230;230;115;230;;;0
ARMAMZDMX5-A;350,9;638;638;350,9;638;;;0
ARMAMZDMX5-C;350,9;638;638;350,9;638;;;0
ARMASZJI15-A;242;440;440;242;440;;;0
