AERO KIT,,,,,,,,,,
New,No.,Part#,Description,MSRP,"Tier 1
40% off
1-5 PCS","Tier 2
50% off
6-10 PCS",,"Tier 3
55% off
Distributor",,
BMW,,,,,,,,,,
,1,1CCAR01F22--,F87 M2/F22/F23 double sided carbon hood,"US$2,615 ","US$1,569 ","US$1,308 ",,"US$1,177 ",,
,2,1CCBM21F24--,G20 carbon front lip ,"US$1,400 ",US$840 ,US$700 ,,US$630 ,,
,3,1CCBM05B24--,G20 carbon rear diffuser ,"US$1,500 ",US$900 ,US$750 ,,US$675 ,,
,4,1CCBM16G24-A,G20 carbon side skirt (2 pcs),"US$1,600 ",US$960 ,US$800 ,,US$720 ,,
,5,1CCBM06F24-A,G20 carbon body kit whole set ,"US$4,050 ","US$2,430 ","US$2,025 ",,"US$1,823 ",,
MERCEDES BENZ,,,,,,,,,,
,1,1CCBZ21F17--A,W177 A250 carbon front lip (3 pcs),US$800 ,US$480 ,US$400 ,,US$360 ,,
,2,1CCBZ05B17--,W177 A250 carbon rear diffuser,US$950 ,US$570 ,US$475 ,,US$428 ,,
,3,1CCBZ16G17-L /R,W177 A250 carbon side skirt (2 pcs),US$950 ,US$570 ,US$475 ,,US$428 ,,
,4,1CCBZ10B17--,W177 A250 carbon spoiler,US$420 ,US$252 ,US$210 ,,US$189 ,,
,5,1CCBZ01F17--,W177 A250 double sided carbon hood,"US$2,490 ","US$1,494 ","US$1,245 ",,"US$1,121 ",,
PORSCHE 718,,,,,,,,,,
,1,1CCPS21F07-A,ARMA carbon front lip (3 piece),"US$1,800 ","US$1,080 ",US$900 ,,US$810 ,,
,2,1CCPS05B07--,ARMA carbon rear diffuser (1 piece),"US$1,600 ",US$960 ,US$800 ,,US$720 ,,
,3,1CCPS16G07-A,ARMA carbon side skirt (4 piece),"US$1,500 ",US$900 ,US$750 ,,US$675 ,,
,4,1CCPS05B071L/R,ARMA carbon rear diffuser extension (2 piece),US$700 ,US$420 ,US$350 ,,US$315 ,,
,5,5CCPS32G07--,Gear shift cover,US$72 ,US$43 ,US$36 ,,US$32 ,,
,6,1CCPS30B07--,Carbon 3rd brake light deco,US$215 ,US$129 ,US$108 ,,US$97 ,,
,7,1CCPS29F07-L /R,Door Sill Cover,US$260 ,US$156 ,US$130 ,,US$117 ,,
PORSCHE Taycan,,,,,,,,,,
,1,1CCPS05B08--,Taycan carbon Fiber front lip,"US$1,280 ",US$768 ,US$640 ,,US$576 ,,
,2,"1CCPS05B081R/L
1CCPS05B08--",Taycan carbon Fiber Rear Diffuser,"US$1,700 ","US$1,020 ",US$850 ,,US$765 ,,
,2-1,1CCPS05B08--,Taycan carbon Fiber Center Rear Diffuser,US$900 ,US$540 ,US$450 ,,US$405 ,,
,2-2,1CCPS05B081R/L,Taycan carbon Fiber Rear Spliter (L/R),US$900 ,US$540 ,US$450 ,,US$405 ,,
