ALLOY TYPE COLD INTAKE ,,,,,,,,
New,No.,Part#,Description,MSRP,"Tier 1
35% off
1-20 SETS","Tier 2
45% off
30 SETS UP",,
AUDI,,,,,,,,
,1,CG85-02-0012,AUDI  A6 C8 2.0T Cold Air Intake-CAL (aluminum base+ aluminum lid),US$385 ,US$250 ,US$212 ,,
,2,CG85-02-0016,AUDI  A6 C8 3.0T Cold Air Intake-CAL (aluminum base+ aluminum lid),US$385 ,US$250 ,US$212 ,,
BMW,,,,,,,,
,1,CG85-02-0001,G20 B48 AL Cold Air Intake (temperature sensor),US$418 ,US$272 ,US$230 ,,
,2,CG85-02-00C1,G20 B48 AL Cold Air Intake- CF Cover (temperature sensor) ,US$520 ,US$338 ,US$286 ,,
,3,CG85-02-0A01,G20 B48 AL Cold Air Intake (maf sensor),US$418 ,US$272 ,US$230 ,,
,4,CG85-02-0AC1,G20 B48 AL Cold Air Intake- CF Cover (maf sensor) ,US$520 ,US$338 ,US$286 ,,
,5,CG85-02-0A29,G20 B58 AL Cold Air Intake,US$418 ,US$272 ,US$230 ,,
,6,CG85-02-0C29,G20 B58 AL Cold Air Intake- CF Cover,US$520 ,US$338 ,US$286 ,,
,7,CG85-02-0004,ALLOY TYPE F30 B48 Cold Air Intake,US$418 ,US$272 ,US$230 ,,
,8,CG85-02-0105,ALLOY TYPE F30 N20 Cold Air Intake,US$418 ,US$272 ,US$230 ,,CG85-02-0021 F30 N20-B-
Ford,,,,,,,,
,1,CG85-02-0006,ALLOY TYPE Ford Focus MK4 1.5T intake,US$396 ,US$257 ,US$218 ,,
,2,CG85-02-00C6,FOCUS MK4 Cold Air Intake-CAL (alloy base+carbon fiber cover),US$517 ,US$336 ,US$284 ,,
,3,ARMAFDMK43-A,FORD MK4 ST  Cold Air Intake-AL,US$451 ,US$293 ,US$248 ,,
,4,ARMAFDMK43CA,FORD MK4 ST Carbon Fiber Cold Air Intake (alloy base+carbon fiber cover),US$561 ,US$365 ,US$309 ,,
Honda,,,,,,,,
,1,CG85-02-0A10,HONDA CIVIC 10TH Cold Air Intake-Manual (28mm diameter),US$407 ,US$265 ,US$224 ,,
,2,CG85-02-0B10,HONDA CIVIC 10TH Cold Air Intake-Manual (32mm diameter),US$407 ,US$265 ,US$224 ,,
,3,CG85-02-0A19,HONDA CIVIC 10TH Cold Air Intake-Auto (28mm diameter),US$407 ,US$265 ,US$224 ,,
,4,CG85-02-0B19,HONDA CIVIC 10TH Cold Air Intake-Auto (32mm diameter),US$407 ,US$265 ,US$224 ,,
Mercedes-Benz,,,,,,,,
,1,CG85-02-0003,ALLOY TYPE W176 A250 Cold Air Intake,US$396 ,US$257 ,US$218 ,,
TOYOTA,,,,,,,,
,1,CG85-02-0A20,Toyota Supra 3.0 cold air intake ¡VWS (aluminum cover+ carbon tube),US$610 ,US$397 ,US$336 ,,
,2,CG85-02-0C20,Toyota Supra 3.0 cold air intake ¡VWSC (carbon cover + carbon fiber tube),US$790 ,US$514 ,US$435 ,,
,3,CG85-02-0F20,Toyota Supra 3.0 cold air intake ¡VWSF ( forged carbon cover + carbon tube),US$790 ,US$514 ,US$435 ,,
,4,CG85-02-0A28,Toyota Supra 2.0 cold air intake ¡VWS (aluminum cover+ carbon tube),US$610 ,US$397 ,US$336 ,,
,5,CG85-02-0C28,Toyota Supra 2.0 cold air intake ¡VWSC (carbon cover + carbon fiber tube),US$790 ,US$514 ,US$435 ,,
,6,CG85-02-0F28,Toyota Supra 2.0 cold air intake ¡VWSF ( forged carbon cover + carbon tube),US$790 ,US$514 ,US$435 ,,
,7,ARMATYSA90-1,Toyota Supra A90 carbon fiber intake lid ,US$190 ,US$124 ,US$105 ,,
,8,ARMATYSA90-1C,Toyota Supra A90 forged carbon fiber intake lid ,US$190 ,US$124 ,US$105 ,,
Volkswagen ,,,,,,,,
,1,CG85-02-0002,ALLOY TYPE VW GOLF GTI7 /Skoda Octavia RS MK3.5 COLD AIR INTAKE,US$374 ,US$243 ,US$206 ,,
CARBON VARIABLE AIR INTAKE ,,,,,,,,
New,No.,,Description,MSRP,"Tier 2
35%
4-10 SET","Tier 3
40%
11 -20SET",,
AUDI,,,,,,,,
,1,,"S3 8V A3 8V carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,390 ",US$904 ,US$834 ,,
,2,,"A4B8 2.0T carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,095 ",US$712 ,US$657 ,,
,3,,"S4 B8 carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,480 ",US$962 ,US$888 ,,
,4,,"TT 8S 45 TFSI  carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,390 ",US$904 ,US$834 ,,
,5,,"S5 B8 carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,480 ",US$962 ,US$888 ,,
,6,,"S6 C7 carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,800 ","US$1,170 ","US$1,080 ",,
,7,,"A7 C7 3.0T carbon variable air intake system (incl. variable valve, electronic system/OBD2 connector)","US$1,545 ","US$1,004 ",US$927 ,,
