BODY KIT (ABS material) ,,,,,,,
New,No.,Part#,Description,MSRP,"Tier 1
25% off
1-5 PCS","Tier 2
30% off
6-10 PCS",Tier 3 35% off 11PCS above
MERCEDES BENZ,,,,,,,
,1,SB-BZ21F19-G,W206 C300 ABS front lip (3 pieces) GLOSS,US$310 ,US$233 ,US$217 ,US$202 
,2,SB-BZ21F19-M,W206 C300 ABS front lip (3 pieces) MATT,US$310 ,US$233 ,US$217 ,US$202 
,3,SB-BZ05B19-G,W206 C300 rear diffuser- ABS (3 pieces) GLOSS,US$350 ,US$263 ,US$245 ,US$228 
,4,SB-BZ05B19-M,W206 C300 rear diffuser- ABS (3 pieces) MATT,US$350 ,US$263 ,US$245 ,US$228 
,5,SB-BZ21F19-A,W206 C300 AERO KIT (front lip + rear diffuser) GLOSS,US$590 ,US$443 ,US$413 ,US$384 
,6,SB-BZ21F19-B,W206 C300 AERO KIT (front lip + rear diffuser) MATT,US$590 ,US$443 ,US$413 ,US$384 
TESLA Model 3 ,,,,,,,
,1,SB-TE21F01-G,Tesla model 3 front lip ( 3 pcs) gloss,US$320 ,US$240 ,US$224 ,US$208 
,2,SB-TE21F01-M,Tesla model 3 front lip ( 3 pcs) matt ,US$320 ,US$240 ,US$224 ,US$208 
,3,SB-TE05B01-G,Tesla model 3 rear diffuser ( 3 pcs) gloss,US$370 ,US$278 ,US$259 ,US$241 
,4,SB-TE05B01-M,Tesla model 3 rear diffuser ( 3 pcs) matt,US$370 ,US$278 ,US$259 ,US$241 
,5,SB-TE16G01-G,Tesla model 3 side skirt ( 4 pcs) gloss,US$330 ,US$248 ,US$231 ,US$215 
,6,SB-TE16G01-M,Tesla model 3 side skirt ( 4 pcs) matt,US$330 ,US$248 ,US$231 ,US$215 
,7,SB-TE21F01-A,Tesla model 3 body kit full set gloss,US$790 ,US$593 ,US$553 ,US$514 
,8,SB-TE21F01-B,Tesla model 3 body kit full set matt,US$790 ,US$593 ,US$553 ,US$514 
VOLKSWAGEN,,,,,,,
,1,SB-VW21F03-G,Golf GTI8 front lip  (3 pieces) gloss,US$310 ,US$233 ,US$217 ,US$202 
,2,SB-VW21F03-M,Golf GTI8 front lip  (3 pieces) matt,US$310 ,US$233 ,US$217 ,US$202 
,3,SB-VW26B03-G,Golf GTI8 rear diffuser gloss,US$350 ,US$263 ,US$245 ,US$228 
,4,SB-VW26B03-M,Golf GTI8 rear diffuser matt,US$350 ,US$263 ,US$245 ,US$228 
,5,SB-VW16G03-G,Golf GTI8 side skirt gloss,US$330 ,US$248 ,US$231 ,US$215 
,6,SB-VW16G03-M,Golf GTI8 side skirt matt,US$330 ,US$248 ,US$231 ,US$215 
,7,SB-VW21F03-A,Golf GTI8 whole set (front lip + rear diffuser + sideskirt) gloss,US$790 ,US$593 ,US$553 ,US$514 
,8,SB-VW21F03-B,Golf GTI8 whole set (front lip + rear diffuser + sideskirt) matt,US$790 ,US$593 ,US$553 ,US$514 
