ARMASPEED 2022 Cone filter Price List,,,,,,
Replacement Filter ,,,,,,
No.,Item No. ,Description,MSRP,MSRP,Tier 1 & 2,Tier 3 & 4
1,CS56-AR60022-1,"BMW E90 335/ BMW E82 135           BMW E60 535/ BMW E92 M3                 BMW E89 Z4 3.0
BMW G20 330                                        IMPREZA VAG STI/BMW Z4     FORESTER EJ25                                HONDA CIVIC FK-2 TYPE-R                   Porsche Macan 2.0                                 Flange Inside150mm  Length 85mm         Top OutSide150mm Base Outside 191mm ",US$32 ,US$35 ,US$25 ,US$18 
2,CS56-AR60022-2,Audi R8 V8 (Two Filters)                          Flange Inside150mm  Length 85mm         Top OutSide150mm Base Outside 191mm                                      ,US$64 ,US$70 ,US$49 ,US$35 
3,CS56-AR60024,"VW GOLF 6 1.4/ VW GOLFGTI 6 2.0       VW Tiguan1.4/2.0                                   BMW F20 116I 118I N13B16                   MINI F56 2.0T                                        FORD FIESTA 1.0T/1.6T                        HONDA S660
MAZDA ND-MX5
BENZ W212 E250
INFINITI Q50                                          AUDI A11.4T                                          Flange Inside 76mm  Length 177mm        Top OutSide120mm Base Outside 125mm ",US$44 ,US$48 ,US$34 ,US$24 
4,CS56-AR60030,"BENZ W204180 CGI, C 200 CGI, C 250 CGI
BENZ W212 E 200 CGI, E 250 CGI C207 E250 CGIBENZ R172 SLK 200 R172 SLK 250
BENZ W205 C250 
Flange Inside 76mm  Length 244mm        Top OutSide120mm Base Outside 98mm   ",US$47 ,US$52 ,US$36 ,US$26 
5,CS56-AR60057,BMW F30 335 F20 M135 N55B30            BMW F30 B48                                        Flange Inside105mm  Length 148mm        Top OutSide120mm Base Outside 140mm,US$41 ,US$45 ,US$32 ,US$23 
6,CS56-AR60031-1,"AUDI S4 S5B8                                      SUBARU LEGACY BR9 2.5
BENZ A250 AL & CF                               SUBARU IMPREZA VAG WRX F20 A      SUBARU LEVORG 1.6
BMW F87 M2                                 LEXUS IS200T
BMW F36 440i B58
FORD MUSTANG 2.3T 
FORD FOCUS MK3 ST 
Supra A90
G20 330i AL
F30 B48 AL
alloyFlange Inside114 mm  Length 148mm Top OutSide120mm Base Outside 150mm",US$41 ,US$45 ,US$32 ,US$23 
7,CS56-AR60031-2,"BMW F10 M5 F12 M6 (Two Filters)
BMW G80 M3/ M4                                  Flange Inside114 mm  Length 148mm       Top OutSide120mm Base Outside 150mm",US$82 ,US$90 ,US$63 ,US$45 
8,CS56-AR60029,BMW F30 320 328 N20B20                     VW GOLF 6R                                         MINI R60                                                PANAMERA 4.8 3.0 3.6  991 GT3 3.8      Flange Insid 89mm   Length 244mm         Top OutSide 120mm  Base Outside 113mm                                      ,US$47 ,US$52 ,US$36 ,US$26 
9,CS56-AR60033,VW GOLF 7 1.2 1.4  AL & CF                 Flange Insid 114mm  Length 157mm        Top OutSide 150mm  Base Outside 150mm   ,US$44 ,US$48 ,US$34 ,US$24 
10,CS56-AR60028,HONDA GK5 FIT                                     BMW E46 M52/4 B25/30                         Flange Insid 76mm  Length 87mm            Top OutSide 162mm  Base Outside 115mm,US$31 ,US$34 ,US$24 ,US$17 
