No.,Part#,Description,MSRP,"30% off 
30 sets",40% off 31 sets above
AUDI,,,,,
1,1CCAD40G01--,Audi RS3 forged carbon wheel paddle shifter-BLACK,US$96 ,US$67 ,US$58 
2,1CCAD40G01-L,Audi RS3 forged carbon paddle shifter - luminous,US$136 ,US$95 ,US$82 
3,1CCAD40G03--,AUDI S3 8V forged carbon paddle shifter- black,US$110 ,US$77 ,US$66 
4,1CCAD40G03-L,AUDI S3 8V forged carbon paddle shifter- luminous BLUE,US$150 ,US$105 ,US$90 
BMW,,,,,
1,1CCBM40G20--,BMW M POWER forged carbon wheel  paddle shifter-Black ,US$90 ,US$63 ,US$54 
2,1CCBM40G20-L,BMW M POWER forged carbon wheel  paddle shifter-luminous edition,US$130 ,US$91 ,US$78 
3,1CCBM40G24--,BMW G20 / Toyota Supra A90 forged paddle shifter - Black,US$96 ,US$67 ,US$58 
4,1CCBM40G24-L,BMW G20 / Toyota Supra A90 forged paddle shifter - luminous edition,US$136 ,US$95 ,US$82 
5,1CCBM40G24-B,BMW G20 / Toyota Supra A90 forged paddle shifter - luminous edition (Blue),US$136 ,US$95 ,US$82 
6,1CCBM40G18-,BMW F30 serial forged carbon paddle shifter - Black,US$96 ,US$67 ,US$58 
7,1CCBM40G18-L,BMW F30 serial forged carbon paddle shifter - luminous edition,US$136 ,US$95 ,US$82 
8,1CCBM40G18-B,BMW F30 serial forged carbon paddle shifter - luminous edition (Blue),US$136 ,US$95 ,US$82 
FORD,,,,,
1,1CCFD40G01--,Ford MK4 forged carbon paddle shifter - black,US$90 ,US$63 ,US$54 
2,1CCFD40G01-L,Ford MK4 forged carbon paddle shifter - luminous edition,US$130 ,US$91 ,US$78 
3,1CCFD40G01-B,Ford MK4 forged carbon paddle shifter - luminous edition (Blue),US$130 ,US$91 ,US$78 
Mercedes BENZ,,,,,
1,1CCBZ40G01--,Benz AMG LINE forged carbon paddle shifter - black gloss,US$88 ,US$62 ,US$53 
2,1CCBZ40G01-L,Benz AMG LINE forged carbon paddle shifter - luminous edition,US$132 ,US$92 ,US$79 
3,1CCBZ40G01-B,Benz AMG LINE forged carbon paddle shifter - luminous edition (Blue),US$132 ,US$92 ,US$79 
4,1CCBZ40G03--,Benz AMG LINE forged carbon paddle shifter - black gloss (2022),US$100 ,US$70 ,US$60 
5,1CCBZ40G03-B,Benz AMG LINE forged carbon paddle shifter - luminous edition (Blue) (2022),US$136 ,US$95 ,US$82 
6,1CCBZ40G04--,Benz AMG forged carbon paddle shifter - black gloss (2022),US$100 ,US$70 ,US$60 
7,1CCBZ40G04-B,Benz AMG forged carbon paddle shifter - luminous edition (Blue) (2022),US$136 ,US$95 ,US$82 
8,1CCBZ40G02--,Benz AMG forged carbon paddle shifter - Black gloss ,US$99 ,US$69 ,US$59 
9,1CCBZ40G02-L ,Benz AMG forged carbon paddle shifter - luminous edition,US$143 ,US$100 ,US$86 
10,1CCBZ40G02-B,Benz AMG forged carbon paddle shifter - luminous edition (Blue),US$143 ,US$100 ,US$86 
SUBARU,,,,,
1,1CCSB40G01--,Subaru forged carbon paddle shifter- black ,US$100 ,US$70 ,US$60 
2,1CCSB40G01-B,Subaru forged carbon paddle shifter- luminous edition (Blue),US$120 ,US$84 ,US$72 
Volkswagen,,,,,
1,1CCVW40G01--,GTI7 forged carbon wheel paddle shifter-black,US$88 ,US$62 ,US$53 
2,1CCVW40G01-L,GTI7 forged carbon wheel paddle shifter-luminous edition,US$132 ,US$92 ,US$79 
3,1CCVW40G01-B,GTI7 forged carbon wheel paddle shifter-luminous edition (Blue),US$132 ,US$92 ,US$79 
4,1CCVW40G02--,GTI8 forged carbon wheel paddle shifter - black ,US$110 ,US$77 ,US$66 
5,1CCVW40G02-B,GTI8 forged carbon wheel paddle shifter - luminous edition (Blue),US$130 ,US$91 ,US$78 
