Alpha Competition;price;reference;width;height;depth;weight;name
Alpha Competition;252.020000;AC-18-DP;83.000000;32.000000;20.000000;6.800000;AUDI S3 8L / TT 8N 225 ALPHA COMPETITION DECAT DOWNPIPE
Alpha Competition;51.210000;AC-180-CPA;20.000000;8.000000;18.000000;0.500000;ALPHA COMPETITION 2.0 TFSI COILPACK ADAPTER FOR 1.8T 20V
Alpha Competition;35.990000;AC-180-DB;37.000000;25.000000;22.000000;1.500000;ALPHA COMPETITION DOGBONE MOUNT GOLF 4 / Leon 1M / S3 8L / TT 8N
Alpha Competition;91.650000;AC-180-EM;22.000000;22.000000;17.000000;2.300000;ALPHA COMPETITION ENGINE MOUNT GOLF 5 / GOLF 6 / LEON 2 / S3 8P / TT 8J 4CYL
Alpha Competition;33.320000;AC-180S-TH-BK;23.000000;26.000000;10.000000;0.300000;1.8T 20V K04 ALPHA COMPETITION SILICONE TURBO OUTLET HOSE - BLACK
Alpha Competition;33.320000;AC-180S-TH-BL;23.000000;26.000000;10.000000;0.300000;1.8T 20V K04 ALPHA COMPETITION SILICONE TURBO OUTLET HOSE - BLUE
Alpha Competition;33.320000;AC-180S-TH-RD;23.000000;26.000000;10.000000;0.300000;1.8T 20V K04 ALPHA COMPETITION SILICONE TURBO OUTLET HOSE - RED
Alpha Competition;154.460000;AC-18FW-DP;81.000000;47.000000;21.000000;7.000000;GOLF 4 GTI / LEON 1M / TT 8N 1.8T ALPHA COMPETITION DECAT DOWNPIPE
Alpha Competition;30.890000;AC-200-BT;16.000000;12.000000;5.000000;0.170000;ALPHA COMPETITION BOOST TAP FOR 2.0 TFSI EA113 / 2.0 TSI EA888.1
Alpha Competition;24.380000;AC-200-CAN-BK;39.000000;29.000000;5.000000;0.300000;ALPHA COMPETITION 2.0 TFSI DUMP VALVE RETURN HOSE
Alpha Competition;24.380000;AC-200-CAN-BL;39.000000;29.000000;5.000000;0.300000;ALPHA COMPETITION 2.0 TFSI DUMP VALVE RETURN HOSE
Alpha Competition;24.380000;AC-200-CAN-RD;39.000000;29.000000;5.000000;0.300000;ALPHA COMPETITION 2.0 TFSI DUMP VALVE RETURN HOSE
Alpha Competition;27.090000;AC-200-CFA;15.000000;5.000000;10.000000;0.100000;2.0 TFSI EA113 ALPHA COMPETITION CAM FOLLOWER
Alpha Competition;116.650000;AC-200-CH-BL;39.000000;28.000000;10.000000;0.950000;2.0 TFSI EA113 ALPHA COMPETITION SILICONE COOLANT HOSE KIT
Alpha Competition;116.650000;AC-200-CH-RD;39.000000;28.000000;10.000000;0.950000;2.0 TFSI EA113 ALPHA COMPETITION SILICONE COOLANT HOSE KIT
Alpha Competition;22.900000;AC-200-CP;20.000000;6.000000;8.000000;0.300000;ALPHA COMPETITION IGNITION COIL 2.0TFSI EA113 / EA888.1 / 2.5 TFSI / 1.8T 20V / 2.7T - BLUE
Alpha Competition;81.290000;AC-200-DB;6.000000;30.000000;10.000000;0.600000;GOLF 5 GTI / GOLF 6 R / LEON 2 CUPRA / S3 8P / TT MK2 ALPHA COMPETITION DOG BONE LOWER ENGINE MOUNT
Alpha Competition;243.890000;AC-200-DP;90.000000;51.000000;22.000000;9.180000;AUDI A3 8P / TT 8J 2WD / OCTAVIA VRS ALPHA COMPETITION DECAT DOWNPIPE
Alpha Competition;20.320000;AC-200-DVBO;4.000000;6.000000;6.000000;0.300000;ALPHA DUMP VALVE BLOCKOFF FLANGE FOR GOLF 5 GTI / GOLF 6 GTI / A3 / TT 2.0 TFSI
