"Manufacturer","Price","Reference","Name","EAN13","Category","Weight","Height","Width","Length"
"Mishimoto","21.00","BNDR-BK","Mishimoto Borne D-Ring Shackle Set, Black","840197709917","Recovery Gear","2.11","6.5","6","9"
"Mishimoto","21.00","BNDR-BL","Mishimoto Borne D-Ring Shackle Set, Blue","840197709924","Recovery Gear","2.11","6.5","6","9"
"Mishimoto","21.00","BNDR-GR","Mishimoto Borne D-Ring Shackle Set, Grey","840197709931","Recovery Gear","2.11","6.5","6","9"
"Mishimoto","21.00","BNDR-RD","Mishimoto Borne D-Ring Shackle Set, Red","840197709948","Recovery Gear","2.11","6.5","6","9"
"Mishimoto","81.00","BNRB-109BK","Mishimoto Borne Recovery Boards, 109x31x6cm, Black","840197707036","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109BL","Mishimoto Borne Recovery Boards, 109x31x6cm, Blue","840197707005","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109GN","Mishimoto Borne Recovery Boards, 109x31x6cm, Green","840197707012","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109NG","Mishimoto Borne Recovery Boards, 109x31x6cm, Neon Green","840197707067","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109OD","Mishimoto Borne Recovery Boards, 109x31x6cm, Olive","840197707029","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109OR","Mishimoto Borne Recovery Boards, 109x31x6cm, Orange","840197707074","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109RD","Mishimoto Borne Recovery Boards, 109x31x6cm, Red","840197707043","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","81.00","BNRB-109YW","Mishimoto Borne Recovery Boards, 109x31x6cm, Yellow","840197707050","Recovery Gear","19.65","43.5","6","12.5"
"Mishimoto","29.00","BNRS-BK","Mishimoto Borne Hitch Receiver & Shackle Set, Black","840197709986","Recovery Gear","1.45","2.5","8","12"
"Mishimoto","25.00","BNSB-08","Mishimoto Borne Snatch Block, 8 Ton","840197709955","Recovery Gear","1.16","2.5","7","11"
"Mishimoto","29.00","BNSB-10","Mishimoto Borne Snatch Block, 10 Ton","840197709962","Recovery Gear","1.16","2.5","7","11"
"Mishimoto","103.57","MMAB-STI-08","Mishimoto Subaru Impreza WRX/STI Air Box, 2008-2014","748354012514","Air Intake Kits & Components","18.51","12","16","16"
"Mishimoto","92.77","MMAB-WRX-01","Mishimoto Subaru Impreza WRX/STI Air Box, 2002-2007","748354015379","Air Intake Kits & Components","18.51","12","16","16"
