"Manufacturer,""Price"",""Reference"",""Name"""
"PracWorks,""1400.00"",""HK-N-20-BK-PO-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Polished Rail """
"PracWorks,""1275.00"",""HK-N-20-BK-PO-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Polished No Rail """
"PracWorks,""1500.00"",""HK-N-20-BK-MA-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Matte Rail """
"PracWorks,""1375.00"",""HK-N-20-BK-MA-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Matte No Rail """
"PracWorks,""1325.00"",""HK-N-20-RD-PO-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Polished Rail """
"PracWorks,""1200.00"",""HK-N-20-RD-PO-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Polished No Rail """
"PracWorks,""1425.00"",""HK-N-20-RD-MA-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Matte Rail """
"PracWorks,""1300.00"",""HK-N-20-RD-MA-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Matte No Rail """
"PracWorks,""1400.00"",""HK-L-20-BK-PO-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Polished Rail """
"PracWorks,""1275.00"",""HK-L-20-BK-PO-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Polished No Rail """
"PracWorks,""1500.00"",""HK-L-20-BK-MA-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Matte Rail """
"PracWorks,""1375.00"",""HK-L-20-BK-MA-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Black Matte No Rail """
"PracWorks,""1325.00"",""HK-L-20-RD-PO-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Polished Rail """
"PracWorks,""1200.00"",""HK-L-20-RD-PO-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Polished No Rail """
"PracWorks,""1425.00"",""HK-L-20-RD-MA-RA"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Matte Rail """
"PracWorks,""1300.00"",""HK-L-20-RD-MA-NO"",""PracWorks Honda K-series Intake Manifold 20° Plenum Red Matte No Rail """
"PracWorks,""1650.00"",""HK-N-CTR-BK-PO-RA"",""PracWorks Honda K-series Intake Manifold Centerfeed Black Polished Rail """
"PracWorks,""1525.00"",""HK-N-CTR-BK-PO-NO"",""PracWorks Honda K-series Intake Manifold Centerfeed Black Polished No Rail """
"PracWorks,""1750.00"",""HK-N-CTR-BK-MA-RA"",""PracWorks Honda K-series Intake Manifold Centerfeed Black Matte Rail """
"PracWorks,""1625.00"",""HK-N-CTR-BK-MA-NO"",""PracWorks Honda K-series Intake Manifold Centerfeed Black Matte No Rail """
"PracWorks,""1575.00"",""HK-N-CTR-RD-PO-RA"",""PracWorks Honda K-series Intake Manifold Centerfeed Red Polished Rail """
"PracWorks,""1450.00"",""HK-N-CTR-RD-PO-NO"",""PracWorks Honda K-series Intake Manifold Centerfeed Red Polished No Rail """
"PracWorks,""1675.00"",""HK-N-CTR-RD-MA-RA"",""PracWorks Honda K-series Intake Manifold Centerfeed Red Matte Rail """
"PracWorks,""1550.00"",""HK-N-CTR-RD-MA-NO"",""PracWorks Honda K-series Intake Manifold Centerfeed Red Matte No Rail """
"PracWorks,""1500.00"",""HK-R-00-BK-PO-RA"",""PracWorks Honda K-series RWD Intake Manifold Black Polished Rail """
"PracWorks,""1375.00"",""HK-R-00-BK-PO-NO"",""PracWorks Honda K-series RWD Intake Manifold Black Polished No Rail """
"PracWorks,""1600.00"",""HK-R-00-BK-MA-RA"",""PracWorks Honda K-series RWD Intake Manifold Black Matte Rail """
"PracWorks,""1475.00"",""HK-R-00-BK-MA-NO"",""PracWorks Honda K-series RWD Intake Manifold Black Matte No Rail """
"PracWorks,""1425.00"",""HK-R-00-RD-PO-RA"",""PracWorks Honda K-series RWD Intake Manifold Red Polished Rail """
"PracWorks,""1300.00"",""HK-R-00-RD-PO-NO"",""PracWorks Honda K-series RWD Intake Manifold Red Polished No Rail """
"PracWorks,""1525.00"",""HK-R-00-RD-MA-RA"",""PracWorks Honda K-series RWD Intake Manifold Red Matte Rail """
"PracWorks,""1400.00"",""HK-R-00-RD-MA-NO"",""PracWorks Honda K-series RWD Intake Manifold Red Matte No Rail """
"PracWorks,""1550.00"",""HF-N-00-BK-PO-RA"",""PracWorks Honda S2000 Intake Manifold Black Polished Rail """
"PracWorks,""1425.00"",""HF-N-00-BK-PO-NO"",""PracWorks Honda S2000 Intake Manifold Black Polished No Rail """
"PracWorks,""1650.00"",""HF-N-00-BK-MA-RA"",""PracWorks Honda S2000 Intake Manifold Black Matte Rail """
"PracWorks,""1525.00"",""HF-N-00-BK-MA-NO"",""PracWorks Honda S2000 Intake Manifold Black Matte No Rail """
"PracWorks,""1475.00"",""HF-N-00-RD-PO-RA"",""PracWorks Honda S2000 Intake Manifold Red Polished Rail """
"PracWorks,""1350.00"",""HF-N-00-RD-PO-NO"",""PracWorks Honda S2000 Intake Manifold Red Polished No Rail """
"PracWorks,""1575.00"",""HF-N-00-RD-MA-RA"",""PracWorks Honda S2000 Intake Manifold Red Matte Rail """
"PracWorks,""1450.00"",""HF-N-00-RD-MA-NO"",""PracWorks Honda S2000 Intake Manifold Red Matte No Rail """
"PracWorks,""1400.00"",""HB-N-20-BK-PO-RA"",""PracWorks Honda B-Series Intake Manifold Black Polished Rail """
"PracWorks,""1275.00"",""HB-N-20-BK-PO-NO"",""PracWorks Honda B-Series Intake Manifold Black Polished No Rail """
"PracWorks,""1500.00"",""HB-N-20-BK-MA-RA"",""PracWorks Honda B-Series Intake Manifold Black Matte Rail """
"PracWorks,""1375.00"",""HB-N-20-BK-MA-NO"",""PracWorks Honda B-Series Intake Manifold Black Matte No Rail """
"PracWorks,""1325.00"",""HB-N-20-RD-PO-RA"",""PracWorks Honda B-Series Intake Manifold Red Polished Rail """
"PracWorks,""1200.00"",""HB-N-20-RD-PO-NO"",""PracWorks Honda B-Series Intake Manifold Red Polished No Rail """
"PracWorks,""1425.00"",""HB-N-20-RD-MA-RA"",""PracWorks Honda B-Series Intake Manifold Red Matte Rail """
"PracWorks,""1300.00"",""HB-N-20-RD-MA-NO"",""PracWorks Honda B-Series Intake Manifold Red Matte No Rail """
"PracWorks,""1625.00"",""HX-N-00-BK-PO"",""PracWorks Honda K20C1 Intake Manifold Black Polished """
"PracWorks,""1725.00"",""HX-N-00-BK-MA"",""PracWorks Honda K20C1 Intake Manifold Black Matte """
"PracWorks,""1550.00"",""HX-N-00-RD-PO"",""PracWorks Honda K20C1 Intake Manifold Red Polished """
"PracWorks,""1650.00"",""HX-N-00-RD-MA"",""PracWorks Honda K20C1 Intake Manifold Red Matte """
"PracWorks,""2000.00"",""HX-N-00-BK-PO-RA"",""PracWorks Honda K20C1 Intake Manifold Port Injection Black Polished Rail """
"PracWorks,""1875.00"",""HX-N-00-BK-PO-NO"",""PracWorks Honda K20C1 Intake Manifold Port Injection Black Polished No Rail """
"PracWorks,""2100.00"",""HX-N-00-BK-MA-RA"",""PracWorks Honda K20C1 Intake Manifold Port Injection Black Matte Rail """
"PracWorks,""1975.00"",""HX-N-00-BK-MA-NO"",""PracWorks Honda K20C1 Intake Manifold Port Injection Black Matte No Rail """
"PracWorks,""1925.00"",""HX-N-00-RD-PO-RA"",""PracWorks Honda K20C1 Intake Manifold Port Injection Red Polished Rail """
"PracWorks,""1800.00"",""HX-N-00-RD-PO-NO"",""PracWorks Honda K20C1 Intake Manifold Port Injection Red Polished No Rail """
"PracWorks,""2025.00"",""HX-N-00-RD-MA-RA"",""PracWorks Honda K20C1 Intake Manifold Port Injection Red Matte Rail """
"PracWorks,""1900.00"",""HX-N-00-RD-MA-NO"",""PracWorks Honda K20C1 Intake Manifold Port Injection Red Matte No Rail """
"PracWorks,""275.00"",""HK-V-01-BK"",""PracWorks Honda K-series Coil Cover Black """
"PracWorks,""200.00"",""HK-V-01-RD"",""PracWorks Honda K-series Coil Cover Red """
"PracWorks,""250.00"",""UFP-6-3.25"",""PracWorks Universal 6"""" Carbon Fiber Filter Pipe """
