Manufacturer,Name,Category,Price,EAN13,Reference
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR Q7 2015-,DISCS FC TYPE,499.99999,4547726882283,FC-1318447S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR A7 4GCGWC PR#2EA,DISCS FC TYPE,357.14285,,FC-1354876S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR HIACE KDH200/22 TRH220,DISCS FC TYPE,221.428567,4547726581551,FC-3119129S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR LEXUS RX350 GGL10W/15W/16W,DISCS FC TYPE,242.857138,4547726587553,FC-3119295S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR BCNR33/BNR32 V-SPEC,DISCS FC TYPE,284.2857086,4547726582084,FC-3212003S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR Z33 BREMBO/CPV 35 BREMBO,DISCS FC TYPE,312.8571366,4547726582695,FC-3212031S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR SKYLINE CKV36 S/SP,DISCS FC TYPE,278.571423,4547726585795,FC-3212037S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR BCNR33/BNR32 V-SPEC,DISCS FC TYPE,241.4285666,4547726582411,FC-3252006S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR Z33 BREMBO/CPV 35 BREMBO,DISCS FC TYPE,269.9999946,4547726582718,FC-3252028S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR SKYLINE CKV36 S/SP,DISCS FC TYPE,285.71428,4547726585801,FC-3252034S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR AP1 S2000,DISCS FC TYPE,264.285709,4547726583159,FC-3315007S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR FD2 TYPR-R (25MM),DISCS FC TYPE,299.999994,4547726585702,FC-3315059S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR AP1 S2000,DISCS FC TYPE,184.2857106,4547726583289,FC-3355008S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR CIVICFD2 -R,DISCS FC TYPE,228.571424,4547726585528,FC-3355054S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR LANCER EVO5/6 BREMBO,DISCS FC TYPE,255.7142806,4547726584101,FC-3416003S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR LANCER EVO 10,DISCS FC TYPE,407.142849,4547726585931,FC-3416053S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR LANCER EVO5/6 BREMBO,DISCS FC TYPE,241.4285666,4547726584200,FC-3456004S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR LANCER EVO 10,DISCS FC TYPE,378.571421,4547726585948,FC-3456054S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR FD3S 17 WHEEL,DISCS FC TYPE,321.428565,4547726585054,FC-3513003S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR RX-8 SE3P 18INCH,DISCS FC TYPE,255.7142806,4547726585078,FC-3519301S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR FD3S 17 WHEEL,DISCS FC TYPE,307.142851,4547726585139,FC-3553004S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR RX-8 SE3P 18INCH,DISCS FC TYPE,212.8571386,4547726585146,FC-3559302S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR IMPREZA GDB BREMBO,DISCS FC TYPE,312.8571366,4547726586051,FC-3617003S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR GRB/VAB BREMBO 114.3,DISCS FC TYPE,312.8571366,4547726586204,FC-3617023S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR 86/BRZ 16INCH BRAKE,DISCS FC TYPE,234.2857096,4547726583944,FC-3617039S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR LEVORG 2.0,DISCS FC TYPE,249.999995,4547726588901,FC-3617049S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR WRX VAB BREMBO 6POT,DISCS FC TYPE,457.142848,4547726781111,FC-3617059S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR STI IMPREZA GDB BREMBO,DISCS FC TYPE,277.1428516,4547726586167,FC-3657012S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR GDB BREMBO 114.3,DISCS FC TYPE,277.1428516,4547726586211,FC-3657014S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR IMPREZA GRB BREMBO,DISCS FC TYPE,277.1428516,4547726586815,FC-3657022S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR 86/BRZ/LEGACY,DISCS FC TYPE,227.1428526,4547726586945,FC-3657024S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR LEVORG 2.0,DISCS FC TYPE,257.142852,4547726588918,FC-3657036S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR ZC32S,DISCS FC TYPE,242.857138,4547726588864,FC-3714045S
DIXCEL,DIXCEL FC TYPE FRONT DISCS FOR SWIFT ZC33,DISCS FC TYPE,278.571423,4547726589793,FC-3714087S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR ZC32S,DISCS FC TYPE,214.28571,4547726588840,FC-3754022S
DIXCEL,DIXCEL FC TYPE REAR DISCS FOR SWIFT ZC33,DISCS FC TYPE,257.142852,4547726589816,FC-3754024S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR RANGE ROVER SPORT,DISCS FP TYPE,328.571422,4547726861813,FP-0218377S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR R.ROVER 5.0 V8 LG5S,DISCS FP TYPE,349.999993,4547726861431,FP-0257946S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR EVOQUE 2015,DISCS FP TYPE,285.71428,4547726862100,FP-0257972S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR JAGUAR F-PACE,DISCS FP TYPE,414.285706,4547726862117,FP-0518369S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR JAGUAR F-PACE,DISCS FP TYPE,471.428562,4547726862124,FP-0518371S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR JAGUAR F-PACE,DISCS FP TYPE,385.714278,4547726861899,FP-0557800S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR JAGUAR F-PACE,DISCS FP TYPE,328.571422,4547726862131,FP-0557994S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR ELISE 1.6 100ZT,DISCS FP TYPE,307.142851,4547726660348,FP-0719190S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W212 E350 212056,DISCS FP TYPE,285.71428,4547726666791,FP-1114815S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR M.B W447 V220D 447811,DISCS FP TYPE,271.428566,4547726861509,FP-1118365S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BENZ W220 2200883/183,DISCS FP TYPE,399.999992,4547726663974,FP-1120181S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BENZ W220 S430 S500 F,DISCS FP TYPE,285.71428,4547726661123,FP-1121063S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BENZ W220 S280 S320F DM,DISCS FP TYPE,314.285708,4547726661130,FP-1121064S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR AMG S55/C36/SLK32,DISCS FP TYPE,349.999993,4547726667323,FP-1121161S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR R230 SL600 T.TURBO,DISCS FP TYPE,342.857136,4547726662878,FP-1121272S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W215 CL600 5.5 T.TURB,DISCS FP TYPE,814.285698,4547726662885,FP-1121274S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR R230 SL350 230475,DISCS FP TYPE,399.999992,4547726662892,FP-1121277S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR R129 55/60 AMG 129067/068,DISCS FP TYPE,357.14285,4547726668030,FP-1123630S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR C207 (COUPE) E550 207373,DISCS FP TYPE,478.571419,4547726668993,FP-1124755S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR R172 SLK200 172448,DISCS FP TYPE,371.428564,4547726860199,FP-1124771S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W218 CLS550 B/E,DISCS FP TYPE,442.857134,4547726860304,FP-1124773S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W166 ML350 B/T-4M,DISCS FP TYPE,414.285706,4547726860311,FP-1124775S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W204 C63 AMG 204377,DISCS FP TYPE,478.571419,4547726669884,FP-1124793S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR C207 550 207372,DISCS FP TYPE,385.714278,4547726860335,FP-1124855S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W204 204054,DISCS FP TYPE,314.285708,4547726664544,FP-1124901S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W204 204041 S-PACKAGE,DISCS FP TYPE,242.857138,4547726664551,FP-1124905S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W221 S550 4M 06/11-,DISCS FP TYPE,342.857136,4547726668092,FP-1126406S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W221,DISCS FP TYPE,342.857136,4547726668108,FP-1126407S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR C350 BF 218359C,DISCS FP TYPE,357.14285,4547726669341,FP-1128211S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR M.BENZ ML350 4M BF 166057,DISCS FP TYPE,464.285705,4547726669358,FP-1128213S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BENZ SLK350 R171 171456,DISCS FP TYPE,285.71428,4547726668115,FP-1128236S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W218 CLS350,DISCS FP TYPE,378.571421,4547726860342,FP-1128289S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W176 A45 AMG,DISCS FP TYPE,328.571422,4547726862148,FP-1128367S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR R231 SL350/550 AMG,DISCS FP TYPE,414.285706,4547726861950,FP-1128425S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR W166 ML63 AMG,DISCS FP TYPE,657.142844,4547726862483,FP-1128453S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR BENZ W220 S280 S320 R,DISCS FP TYPE,242.857138,4547726661390,FP-1151065S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR BENZ S600 220176/CL600 215376,DISCS FP TYPE,321.428565,4547726665978,FP-1153666S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR M.BENZ A250 176046,DISCS FP TYPE,271.428566,4547726861103,FP-1157950S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR M.B W447 V220D 447811,DISCS FP TYPE,242.857138,4547726861547,FP-1157990S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR W215 CL600 5.5 T.TURBO,DISCS FP TYPE,357.14285,4547726663011,FP-1161275S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR R230 SL600 T.TURBO,DISCS FP TYPE,328.571422,4547726663028,FP-1161276S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR R129 55/60 AMG 129067/068,DISCS FP TYPE,335.714279,4547726668177,FP-1163631S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR R230 SL350 230458 AMG SP,DISCS FP TYPE,271.428566,4547726669006,FP-1164894S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR W176 A CLASS,DISCS FP TYPE,371.428564,4547726862308,FP-1167842S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR R231 SL350/550 SPORTS PACKAGE,DISCS FP TYPE,278.571423,4547726862872,FP-1167858S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR GL500 166873,DISCS FP TYPE,399.999992,4547726669365,FP-1168518S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR CLS63/E63 AMG DRILLED/SLIT,DISCS FP TYPE,442.857134,4547726667996,FP-1174858S
DIXCEL,DIXCEL FP TYPE REAR DISCS FOR W204 C63 AMG 204377,DISCS FP TYPE,421.428563,4547726669907,FP-1178520S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E60 525I NA25/NG25,DISCS FP TYPE,214.28571,4547726663097,FP-1211262S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E60 530I NA30,DISCS FP TYPE,221.428567,4547726663103,FP-1211263S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW E36 34111164199,DISCS FP TYPE,178.571425,4547726661642,FP-1212623S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW E39 34111163013,DISCS FP TYPE,242.857138,4547726661673,FP-1213043S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW E36 M3,DISCS FP TYPE,349.999993,4547726661703,FP-1213215S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E90/91/92/93 335I,DISCS FP TYPE,314.285708,4547726660621,FP-1213441S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR MINI R56 COOPER S,DISCS FP TYPE,207.142853,4547726664568,FP-1213445S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E60 540I / E63/64 550,DISCS FP TYPE,442.857134,4547726667897,FP-1213481S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E90 330,DISCS FP TYPE,199.999996,4547726663813,FP-1214645S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F30 M SPORT,DISCS FP TYPE,399.999992,4547726669020,FP-1214741S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E89 Z4 LM30/LM35,DISCS FP TYPE,471.428562,4547726669044,FP-1214751S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E39 M5 RH/LH,DISCS FP TYPE,371.428564,4547726667736,FP-1214845S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F07 550I SN44 09/11- RH/LH,DISCS FP TYPE,628.571416,4547726667781,FP-1214849S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW MINI R56/57 JCW,DISCS FP TYPE,278.571423,4547726667811,FP-1214853S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW F10 523I,DISCS FP TYPE,314.285708,4547726668634,FP-1214879S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW F10 528I,DISCS FP TYPE,378.571421,4547726668641,FP-1214881S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW E46 M3,DISCS FP TYPE,385.714278,4547726660713,FP-1214913S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E46 M3 3.2CSL,DISCS FP TYPE,399.999992,4547726660829,FP-1214941S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR E85/86 Z4 3.0 SI BU30,DISCS FP TYPE,292.857137,4547726660973,FP-1214959S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR ALPINA B10 3.0 ALLROAD,DISCS FP TYPE,271.428566,4547726669327,FP-1218207S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F30 M SPORT BRAKE 370X30,DISCS FP TYPE,442.857134,4547726669877,FP-1218225S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F56 MINI ONE,DISCS FP TYPE,257.142852,4547726860168,FP-1218255S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F45 220/F55/56 MF16S,DISCS FP TYPE,257.142852,4547726860205,FP-1218267S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR R56 MINI JCW 6POT,DISCS FP TYPE,421.428563,4547726860250,FP-1218279S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW F45 225 2A20,DISCS FP TYPE,321.428565,4547726861226,FP-1218309S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F26 X4 M40I XW35M,DISCS FP TYPE,428.57142,4547726861929,FP-1218379S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR F02 760LI KB60/YG60,DISCS FP TYPE,514.285704,4547726862018,FP-1218387S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR MINI F56 LCS,DISCS FP TYPE,357.14285,4547726862346,FP-1218449S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR G30 530 M-SPORT,DISCS FP TYPE,385.714278,4547726860441,FP-1218451S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR G30 (SEDAN) 530I JA20,DISCS FP TYPE,428.57142,4547726862513,FP-1218483S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR BMW X3,DISCS FP TYPE,342.857136,4547726863039,FP-1218507S
DIXCEL,DIXCEL FP TYPE FRONT DISCS FOR G20 320I/G22 420I,DISCS FP TYPE,342.857136,4547726860939,FP-1218609S
