reference;wholesale_price;price;;;;;;discount
EVE-S1-CF-INT;365,40;609,00;;;;;;25
EVE-8YS3-CF-INT;799,80;1333,00;;;;;;25
EVE-2TFSI-CF-INT;531,00;885,00;;;;;;25
EVE-8VRS3-CF-LHD-INT;988,20;1647,00;;;;;;25
EVE-8VRS3-CF-RHD-INT;988,20;1647,00;;;;;;25
EVE-ST38V8S-CF-INT;1028,40;1714,00;;;;;;25
EVE-RSQ3-DCT;240,00;400,00;;;;;;25
EVE-ST38V8S-CF-HDP;468,60;781,00;;;;;;25
EVE-ST38Y-CF-INT;1028,40;1714,00;;;;;;25
EVE-TRB8V8S-LHD-NIL ;342,60;571,00;;;;;;25
EVE-TRB8V8S-RHD-NIL ;342,60;571,00;;;;;;25
EVE-TRB8V8S-FLG-STK;28,20;47,00;;;;;;25
EVE-TRB8V8S-FLG-TTE;28,20;47,00;;;;;;25
EVE-TRB8V8S-FLG-SRM;28,20;47,00;;;;;;25
EVE-ST38V8S-CF-ENG;342,60;571,00;;;;;;25
EVE-RSQ3-CF-INT;1028,40;1714,00;;;;;;25
EVE-RSQ3-DWNA;42,60;71,00;;;;;;25
EVE-RS5-INT;1455,00;2425,00;;;;;;25
EVE-RS4-CF-SLM;485,40;809,00;;;;;;25
EVE-RS5-CF-SLM;485,40;809,00;;;;;;25
EVE-RS5-CF-ENG;457,20;762,00;;;;;;25
EVE-B9S5-CF-INT;828,00;1380,00;;;;;;25
EVE-B9RS5-CF-INT;942,60;1571,00;;;;;;25
EVE-C7S6-CF-INT;1342,80;2238,00;;;;;;25
EVE-4V8TT-CF-INT;1631,40;2719,00;;;;;;25
EVE-C7RS6-CF-INT;1342,80;2238,00;;;;;;25
EVE-C8RS6-CF-INT;1590,00;2650,00;;;;;;25
EVE-C8RS6-CFM-INT;1590,00;2650,00;;;;;;25
EVE-C8RS6-TTE;262,80;438,00;;;;;;25
EVE-C8RS6-CF-ENG;378,00;630,00;;;;;;25
EVE-C8RS6-CFM-ENG;378,00;630,00;;;;;;25
EVE-C8RS6-PCV;42,00;70,00;;;;;;25
EVE-4V8TT-CF-INT;1631,40;2719,00;;;;;;25
EVE-HCN-CF-INT;1326,00;2210,00;;;;;;25
EVE-4V8TT-CF-INT;1631,40;2719,00;;;;;;25
EVE-B58-CF-INT;742,80;1238,00;;;;;;25
EVE-B58F-CF-ENG;371,40;619,00;;;;;;25
EVE-E39-INT;742,80;1238,00;;;;;;25
EVE-E46-INT;556,80;928,00;;;;;;25
EVE-E46-SC;105,60;176,00;;;;;;25
