SKU,Name,Category,Market,Weight,Height,Width,Length,Barcode,Price EU RRP,Your Cost
BNDR-BK,"Borne D-Ring Shackle Set, Black",Recovery Gear,Universal,2.11,6.5,6,9,840197709917,21.00,11.55
BNDR-BL,"Borne D-Ring Shackle Set, Blue",Recovery Gear,Universal,2.11,6.5,6,9,840197709924,21.00,11.55
BNDR-GR,"Borne D-Ring Shackle Set, Grey",Recovery Gear,Universal,2.11,6.5,6,9,840197709931,21.00,11.55
BNDR-RD,"Borne D-Ring Shackle Set, Red",Recovery Gear,Universal,2.11,6.5,6,9,840197709948,21.00,11.55
BNRB-109BK,"Borne Recovery Boards, 109x31x6cm, Black",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707036,81.00,44.55
BNRB-109BL,"Borne Recovery Boards, 109x31x6cm, Blue",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707005,81.00,44.55
BNRB-109GN,"Borne Recovery Boards, 109x31x6cm, Green",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707012,81.00,44.55
BNRB-109NG,"Borne Recovery Boards, 109x31x6cm, Neon Green",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707067,81.00,44.55
BNRB-109OD,"Borne Recovery Boards, 109x31x6cm, Olive",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707029,81.00,44.55
BNRB-109OR,"Borne Recovery Boards, 109x31x6cm, Orange",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707074,81.00,44.55
BNRB-109RD,"Borne Recovery Boards, 109x31x6cm, Red",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707043,81.00,44.55
BNRB-109YW,"Borne Recovery Boards, 109x31x6cm, Yellow",Recovery Gear,Universal,19.65,43.5,6,12.5,840197707050,81.00,44.55
BNRS-BK,"Borne Hitch Receiver & Shackle Set, Black",Recovery Gear,Universal,1.45,2.5,8,12,840197709986,29.00,15.95
BNSB-08,"Borne Snatch Block, 8 Ton",Recovery Gear,Universal,1.16,2.5,7,11,840197709955,25.00,13.75
BNSB-10,"Borne Snatch Block, 10 Ton",Recovery Gear,Universal,1.16,2.5,7,11,840197709962,29.00,15.95
MMAB-STI-08,"Subaru Impreza WRX/STI Air Box, 2008-2014",Air Intake Kits & Components,Sport Compact,18.51,12,16,16,748354012514,103.57,56.96
MMAB-WRX-01,"Subaru Impreza WRX/STI Air Box, 2002-2007",Air Intake Kits & Components,Sport Compact,18.51,12,16,16,748354015379,92.77,51.02
MMAF-13625,"Mishimoto Performance Air Filter, 1.3625"" Inlet, 3"" Filter Length",Air Intake Kits & Components,Universal,1,4,4,3.5,748354027488,19.77,10.87
MMAF-2756,"Performance Air Filter, 2.75"" Inlet, 6"" Filter Length",Air Intake Kits & Components,Universal,1.92,6.5,7,7,748354030686,46.82,25.75
MMAF-2756S,"Powerstack Performance Air Filter, 2.75"" Inlet, 5.827"" Filter Length",Air Intake Kits & Components,Universal,1.92,6.5,7,7,748354025934,69.36,38.15
MMAF-2757,"Performance Air Filter, 2.75"" Inlet, 7"" Filter Length",Air Intake Kits & Components,Universal,2.11,6,6.5,9,748354010671,41.90,23.05
MMAF-2758,"Performance Air Filter, 2.75"" Inlet, 8"" Filter Length",Air Intake Kits & Components,Universal,2.51,6.5,6.25,10.25,748354012378,48.28,26.55
MMAF-3006,"Performance Air Filter, 3.00"" Inlet, 6"" Filter Length",Air Intake Kits & Components,Universal,2.26,6.5,6.25,9.25,748354012385,43.72,24.05
MMAF-3007,"Mishimoto Performance Air Filter, 3"" Inlet,  7"" Filter Length",Air Intake Kits & Components,Universal,1.92,6.5,7,7,748354026207,65.55,36.05
MMAF-3505,"Mishimoto Air Filter w/ Molded Logo, Red Oil, 8 Layer Cotton w/ Worm Gear Clamp",Air Intake Kits & Components,Universal,2.36,7,7,8,748354039184,68.34,37.59
MMAF-3508,"Performance Air Filter, 3.5"" Inlet, 8"" Filter Length",Air Intake Kits & Components,Universal,2.61,6.5,6.5,10.25,748354018936,60.01,33.01
MMAF-37562S,"Powerstack Air Filter, Flange ID 3.75"", Filter length 6.2""",Air Intake Kits & Components,Universal,1.73,6,6,8,840197702291,86.35,47.49
MMAF-4006,"Mishimoto Performance Air Filter, 4"" Inlet, 6"" Filter Length",Air Intake Kits & Components,Universal,2.36,7,7,8,748354034684,60.12,33.07
MMAF-4007,"Performance Air Filter, 4"" Inlet, 7"" Filter Length",Air Intake Kits & Components,Universal,2.61,6.5,6.5,10.25,748354021240,47.15,25.93
MMAF-45575,"Performance Air Filter, 4.5"" Inlet, 5.75"" Filter Length",Air Intake Kits & Components,Universal,2.36,7,7,8,840197711316,88.74,48.81
MMAF-5007,"Performance Air Filter, 5"" Inlet, 7"" Filter Length",Air Intake Kits & Components,Universal,2.07,7,7,7,748354028058,42.81,23.55
MMAF-REOIL-RD,Air Filter Re-Oil Kit,Air Intake Kits & Components,Universal,3,10,5,5,748354017250,19.59,10.77
MMAF-SUB-SGD,Subaru Sound Generator Delete Kit,Air Intake Kits & Components,Universal,0.8,2.3,1,0.6,748354017557,14.40,7.92
MMAH-U36BL,"36in. Flexible Radiator Hose Kit, Blue",Hoses & Couplers,Universal,3.24,20.5,2.5,10.5,840197704431,50.00,27.50
MMAH-U36C,"36in. Flexible Radiator Hose Kit, Chrome",Hoses & Couplers,Universal,3.4,20.5,2.5,11,840197711170,61.94,34.07
MMAH-U36RD,"36in. Flexible Radiator Hose Kit, Red",Hoses & Couplers,Universal,3.24,20.5,2.5,10.5,840197704448,50.00,27.50
MMAI-350Z-03H,"Nissan 350Z Air Intake Kit, 2003-2006",Air Intake Kits & Components,Sport Compact,19.28,10,16,20,748354023350,207.30,114.02
