reference;wholesale_price;price;;;;;;discount
BNDR-BK;11,55;21;;;;;;30
BNDR-BL;11,55;21;;;;;;30
BNDR-GR;11,55;21;;;;;;30
BNDR-RD;11,55;21;;;;;;30
BNRB-109BK;44,55;81;;;;;;30
BNRB-109BL;44,55;81;;;;;;30
BNRB-109GN;44,55;81;;;;;;30
BNRB-109NG;44,55;81;;;;;;30
BNRB-109OD;44,55;81;;;;;;30
BNRB-109OR;44,55;81;;;;;;30
BNRB-109RD;44,55;81;;;;;;30
BNRB-109YW;44,55;81;;;;;;30
BNRS-BK;15,95;29;;;;;;30
BNSB-08;13,75;25;;;;;;30
BNSB-10;15,95;29;;;;;;30
MMAB-STI-08;56,96;103,57;;;;;;30
MMAB-WRX-01;51,02;92,77;;;;;;30
MMAF-13625;10,87;19,77;;;;;;30
MMAF-2756;25,75;46,82;;;;;;30
MMAF-2756S;38,15;69,36;;;;;;30
MMAF-2757;23,05;41,9;;;;;;30
MMAF-2758;26,55;48,28;;;;;;30
MMAF-3006;24,05;43,72;;;;;;30
MMAF-3007;36,05;65,55;;;;;;30
MMAF-3505;37,59;68,34;;;;;;30
MMAF-3508;33,01;60,01;;;;;;30
MMAF-37562S;47,49;86,35;;;;;;30
MMAF-4006;33,07;60,12;;;;;;30
MMAF-4007;25,93;47,15;;;;;;30
MMAF-45575;48,81;88,74;;;;;;30
MMAF-5007;23,55;42,81;;;;;;30
MMAF-REOIL-RD;10,77;19,59;;;;;;30
MMAF-SUB-SGD;7,92;14,4;;;;;;30
MMAH-U36BL;27,5;50;;;;;;30
MMAH-U36C;34,07;61,94;;;;;;30
MMAH-U36RD;27,5;50;;;;;;30
MMAI-350Z-03H;114,02;207,3;;;;;;30
MMAI-BRZ-13BBK;173,03;314,6;;;;;;30
MMAI-BRZ-13BBL;173,03;314,6;;;;;;30
MMAI-BRZ-13BRD;205,19;373,07;;;;;;30
MMAI-BRZ-13P;180,66;328,47;;;;;;30
MMAI-BRZ-13WBK;180,66;328,47;;;;;;30
MMAI-CIV-16BK;160;290,9;;;;;;30
MMAI-CIV-16BL;160;290,9;;;;;;30
MMAI-CIV-16RD;160;290,9;;;;;;30
MMAI-CLA45-14BK;216,06;392,83;;;;;;30
MMAI-CTR-17;261,88;476,14;;;;;;30
MMAI-CTR-17UBK;230,49;419,07;;;;;;30
MMAI-CTR-17URD;230,49;419,07;;;;;;30
MMAI-E46-01BK;141,09;256,52;;;;;;30
MMAI-E46-99BK;129,12;234,76;;;;;;30
MMAI-F30-12P;223,35;406,09;;;;;;30
MMAI-F30-12WBK;223,35;406,09;;;;;;30
MMAI-FIST-14P;196,64;357,53;;;;;;30
MMAI-FIST-14WBK;196,64;357,53;;;;;;30
MMAI-FIST-14WRD;196,64;357,53;;;;;;30
MMAI-FOST-13P;204,61;372,01;;;;;;30
MMAI-FOST-13WBK;204,61;372,01;;;;;;30
MMAI-G80-21;422,87;768,86;;;;;;30
MMAI-G80-21CFG;1015,85;1847;;;;;;30
MMAI-G80-21CFM;1015,85;1847;;;;;;30
MMAI-G80-21H;355,3;646;;;;;;30
MMAI-MIA-16P;268,13;487,5;;;;;;30
MMAI-MIA-16WBK;268,13;487,5;;;;;;30
MMAI-MIA-16WRD;268,13;487,5;;;;;;30
MMAI-MIN-14P;156,71;284,92;;;;;;30
MMAI-MIN-14WBK;156,71;284,92;;;;;;30
MMAI-MIN-14WRD;156,71;284,92;;;;;;30
MMAI-MK7-15P;172,33;313,32;;;;;;30
MMAI-MK7-15WBK;172,33;313,32;;;;;;30
MMAI-MK7-15WRD;172,33;313,32;;;;;;30
MMAI-MK7-15X;253,38;460,69;;;;;;30
MMAI-MK7-TI;78,97;143,58;;;;;;30
MMAI-MUS4-15P;193,15;351,19;;;;;;30
MMAI-MUS4-15WBK;193,15;351,19;;;;;;30
MMAI-MUS8-15BK;187,95;341,72;;;;;;30
MMAI-MUS8-15BL;187,95;341,72;;;;;;30
MMAI-MUS8-15RD;187,95;341,72;;;;;;30
MMAI-RS-16P;231,68;421,23;;;;;;30
MMAI-RS-16WBK;231,68;421,23;;;;;;30
MMAI-RS-16WBL;231,68;421,23;;;;;;30
MMAI-STI-08P;180,14;327,52;;;;;;30
MMAI-STI-08WBK;180,14;327,52;;;;;;30
MMAI-STI-08WRD;180,14;327,52;;;;;;30
MMAI-STI-15P;168,16;305,75;;;;;;30
MMAI-STI-15WBK;168,16;305,75;;;;;;30
MMAI-STI-15WRD;168,16;305,75;;;;;;30
MMAI-SUP-20;271,22;493,12;;;;;;30
MMAPL-BORNE-TBLL;8,8;16;;;;;;30
MMAPL-BORNE-TBLM;8,8;16;;;;;;30
MMAPL-BORNE-TBLS;8,8;16;;;;;;30
MMAPL-BORNE-TBLXL;8,8;16;;;;;;30
MMAPL-HAT-BK;9,57;17,39;;;;;;30
MMAPL-HAT-STRW;14,85;27;;;;;;30
MMAPL-HOOD-BKLG;14,85;27;;;;;;30
MMAPL-HOOD-BKLOGO2XL;16,74;30,43;;;;;;30
MMAPL-HOOD-BKLOGOLG;14,85;27;;;;;;30
MMAPL-HOOD-BKLOGOMD;14,85;27;;;;;;30
MMAPL-HOOD-BKLOGOSM;14,85;27;;;;;;30
MMAPL-HOOD-BKLOGOXL;14,85;27;;;;;;30
MMAPL-HOOD-BKMD;14,85;27;;;;;;30
MMAPL-HOOD-BKSM;14,85;27;;;;;;30
MMAPL-HOOD-BKXL;14,85;27;;;;;;30
MMAPL-HOOD-TDYEBKL;22,55;41;;;;;;30
MMAPL-HOOD-TDYEBKM;22,55;41;;;;;;30
MMAPL-HOOD-TDYEBKS;22,55;41;;;;;;30
MMAPL-HOOD-TDYEBKXL;22,55;41;;;;;;30
MMAPL-HOOD-WTLG;14,85;27;;;;;;30
MMAPL-HOOD-WTMD;14,85;27;;;;;;30
MMAPL-HOOD-WTSM;14,85;27;;;;;;30
MMAPL-HOOD-WTXL;14,85;27;;;;;;30
MMAPL-LOGO-LSTBKLG;14,3;26;;;;;;30
MMAPL-LOGO-LSTBKMD;14,3;26;;;;;;30
MMAPL-LOGO-LSTBKXL;14,3;26;;;;;;30
MMAPL-LOGO-TBK2XL;9,57;17,39;;;;;;30
MMAPL-LOGO-TBK3XL;9,57;17,39;;;;;;30
MMAPL-LOGO-TBKLG;7,7;14;;;;;;30
MMAPL-LOGO-TBKMD;7,7;14;;;;;;30
MMAPL-LOGO-TBKSM;7,7;14;;;;;;30
MMAPL-LOGO-TBKXL;7,7;14;;;;;;30
MMAPL-LOGO-TTBKM;7,15;13;;;;;;30
MMAPL-LOGO-TTBKSM;7,15;13;;;;;;30
MMAPL-MRGLNLG;8,8;16;;;;;;30
MMAPL-MRGLNMD;8,8;16;;;;;;30
MMAPL-MRGLNSM;8,8;16;;;;;;30
MMAPL-MRGLNXL;8,8;16;;;;;;30
MMAPL-OMB-TBKL;9,9;18;;;;;;30
MMAPL-OMB-TBKM;9,9;18;;;;;;30
MMAPL-OMB-TBKS;9,9;18;;;;;;30
MMAPL-OMB-TBKXL;9,9;18;;;;;;30
MMAPL-OMB-TWHL;9,9;18;;;;;;30
MMAPL-OMB-TWHM;9,9;18;;;;;;30
MMAPL-OMB-TWHS;9,9;18;;;;;;30
MMAPL-OMB-TWHXL;9,9;18;;;;;;30
MMAPL-PONCHO;7,15;13;;;;;;30
MMAPL-SCRIPT-BKL;9,9;18;;;;;;30
MMAPL-SCRIPT-BKM;9,9;18;;;;;;30
MMAPL-SCRIPT-BKS;9,9;18;;;;;;30
MMAPL-SCRIPT-BKXL;9,9;18;;;;;;30
MMAPL-SCRIPT-GYL;9,9;18;;;;;;30
MMAPL-SCRIPT-GYM;9,9;18;;;;;;30
MMAPL-SCRIPT-GYS;9,9;18;;;;;;30
MMAPL-SCRIPT-GYXL;9,9;18;;;;;;30
MMAPL-SCRIPT-TTBKM;7,15;13;;;;;;30
