reference;wholesale_price_dollar;price_dollar;price_displayed_dollar;wholesale_price;price;;;discount
UAP3DIY1;173,42;299;299;173,42;299;;;35
UAP3DIY2;173,42;299;299;173,42;299;;;35
L3P3AB7X;225,62;389;389;225,62;389;;;35
R3P3AB7X;225,62;389;389;225,62;389;;;35
L3P3AB8X;225,62;389;389;225,62;389;;;35
R3P3AB8X;225,62;389;389;225,62;389;;;35
L3P3AB9X;225,62;389;389;225,62;389;;;35
R3P3AB9X;225,62;389;389;225,62;389;;;35
U3P3AS1X;231,42;399;399;231,42;399;;;35
U3P3A8VX;231,42;399;399;231,42;399;;;35
U3P3A8PX;225,62;389;389;225,62;389;;;35
L3P3A8SX;231,42;399;399;231,42;399;;;35
R3P3A8SX;231,42;399;399;231,42;399;;;35
U3P3A8JX;225,62;389;389;225,62;389;;;35
L3P3AR8X;283,62;489;489;283,62;489;;;35
R3P3AR8X;283,62;489;489;283,62;489;;;35
L3P3AC6X;225,62;389;389;225,62;389;;;35
R3P3AC6X;225,62;389;389;225,62;389;;;35
L3P3AC7X;225,62;389;389;225,62;389;;;35
R3P3AC7X;225,62;389;389;225,62;389;;;35
L3P3AQ5X;225,62;389;389;225,62;389;;;35
R3P3AQ5X;225,62;389;389;225,62;389;;;35
L3P3AQ52;225,62;389;389;225,62;389;;;35
R3P3AQ52;225,62;389;389;225,62;389;;;35
L3P3AQ7X;225,62;389;389;225,62;389;;;35
R3P3AQ7X;225,62;389;389;225,62;389;;;35
UAP3AB5X;173,42;299;299;173,42;299;;;35
LAP3AB6X;167,62;289;289;167,62;289;;;35
RAP3AB6X;167,62;289;289;167,62;289;;;35
LAP3AB7X;167,62;289;289;167,62;289;;;35
RAP3AB7X;167,62;289;289;167,62;289;;;35
LAP3AB8X;167,62;289;289;167,62;289;;;35
RAP3AB8X;167,62;289;289;167,62;289;;;35
LAP3AB9X;167,62;289;289;167,62;289;;;35
RAP3AB9X;167,62;289;289;167,62;289;;;35
UAP3AS1X;173,42;299;299;173,42;299;;;35
UAP3A8VX;173,42;299;299;173,42;299;;;35
UAP3A1TX;173,42;299;299;173,42;299;;;35
UAP3A8PX;167,62;289;289;167,62;289;;;35
UAP3A8JX;167,62;289;289;167,62;289;;;35
LAP3AR8X;173,42;299;299;173,42;299;;;35
RAP3AR8X;173,42;299;299;173,42;299;;;35
LAP3AC5X;167,62;289;289;167,62;289;;;35
RAP3AC5X;167,62;289;289;167,62;289;;;35
LAP3AC6X;167,62;289;289;167,62;289;;;35
RAP3AC6X;167,62;289;289;167,62;289;;;35
LAP3AC7X;167,62;289;289;167,62;289;;;35
RAP3AC7X;167,62;289;289;167,62;289;;;35
LAP3AQ5X;167,62;289;289;167,62;289;;;35
RAP3AQ5X;167,62;289;289;167,62;289;;;35
LAP3AQ52;167,62;289;289;167,62;289;;;35
RAP3AQ52;167,62;289;289;167,62;289;;;35
LAP3AQ7X;167,62;289;289;167,62;289;;;35
RAP3AQ7X;167,62;289;289;167,62;289;;;35
L3P3BE6X;225,62;389;389;225,62;389;;;35
L3P3BE63;225,62;389;389;225,62;389;;;35
R3P3BE63;225,62;389;389;225,62;389;;;35
L3P3BE71;225,62;389;389;225,62;389;;;35
R3P3BE71;225,62;389;389;225,62;389;;;35
L3P3BE8X;225,62;389;389;225,62;389;;;35
R3P3BE8X;225,62;389;389;225,62;389;;;35
L3P3BE89;225,62;389;389;225,62;389;;;35
R3P3BE89;225,62;389;389;225,62;389;;;35
L3P3BE9X;225,62;389;389;225,62;389;;;35
R3P3BE9X;225,62;389;389;225,62;389;;;35
L3P3BF1X;225,62;389;389;225,62;389;;;35
R3P3BF1X;225,62;389;389;225,62;389;;;35
L3P3BFM6;225,62;389;389;225,62;389;;;35
R3P3BFM6;225,62;389;389;225,62;389;;;35
L3P3BF2X;225,62;389;389;225,62;389;;;35
R3P3BF2X;225,62;389;389;225,62;389;;;35
L3P3BF3X;225,62;389;389;225,62;389;;;35
R3P3BF3X;225,62;389;389;225,62;389;;;35
L3P3BG42;225,62;389;389;225,62;389;;;35
R3P3BG42;225,62;389;389;225,62;389;;;35
L3P3BG2X;225,62;389;389;225,62;389;;;35
R3P3BG2X;225,62;389;389;225,62;389;;;35
L3P3BG3X;225,62;389;389;225,62;389;;;35
R3P3BG3X;225,62;389;389;225,62;389;;;35
L3P3BF97;225,62;389;389;225,62;389;;;35
R3P3BF97;225,62;389;389;225,62;389;;;35
L3P3BF9R;225,62;389;389;225,62;389;;;35
R3P3BF9R;225,62;389;389;225,62;389;;;35
LAP3BE46;167,62;289;289;167,62;289;;;35
RAP3BE46;167,62;289;289;167,62;289;;;35
LAP3BE6X;167,62;289;289;167,62;289;;;35
LAP3BE63;167,62;289;289;167,62;289;;;35
RAP3BE63;167,62;289;289;167,62;289;;;35
LAP3BE71;167,62;289;289;167,62;289;;;35
RAP3BE71;167,62;289;289;167,62;289;;;35
LAP3BE8X;167,62;289;289;167,62;289;;;35
RAP3BE8X;167,62;289;289;167,62;289;;;35
LAP3BE85;167,62;289;289;167,62;289;;;35
RAP3BE85;167,62;289;289;167,62;289;;;35
LAP3BE89;167,62;289;289;167,62;289;;;35
RAP3BE89;167,62;289;289;167,62;289;;;35
LAP3BE9X;167,62;289;289;167,62;289;;;35
RAP3BE9X;167,62;289;289;167,62;289;;;35
LAP3BF1X;167,62;289;289;167,62;289;;;35
RAP3BF1X;167,62;289;289;167,62;289;;;35
LAP3BFM6;167,62;289;289;167,62;289;;;35
LAP3BF2X;167,62;289;289;167,62;289;;;35
RAP3BF2X;167,62;289;289;167,62;289;;;35
LAP3BF3X;167,62;289;289;167,62;289;;;35
RAP3BF3X;167,62;289;289;167,62;289;;;35
LAP3BG42;167,62;289;289;167,62;289;;;35
RAP3BG42;167,62;289;289;167,62;289;;;35
LAP3VG2X;167,62;289;289;167,62;289;;;35
RAP3VG2X;167,62;289;289;167,62;289;;;35
LAP3VG3X;167,62;289;289;167,62;289;;;35
RAP3VG3X;167,62;289;289;167,62;289;;;35
P3BTAP1;34,8;60;60;34,8;60;;;35
P3BTAP2;34,8;60;60;34,8;60;;;35
L3P3GMR5;225,62;389;389;225,62;389;;;35
LAP3GMR5;167,62;289;289;167,62;289;;;35
RAP3GMR5;167,62;289;289;167,62;289;;;35
L3P3CTS3;225,62;389;389;225,62;389;;;35
L3P3CTR3;225,62;389;389;225,62;389;;;35
