ASM;ASD
LbP3VGT4;LAP3VGT4
vP3VGT5;L3P3VGT5
bP3VGT5;LAP3VGT5
3P3VGT7;L3P3VGT7
AP3VGT7;LAP3VGT7
3P3VGT6;L3P3VGT6
AP3VGT6;LAP3VGT6
vP3VSE3;L3P3VSE3
bP3VSE3;LAP3VSE3
3P3AB8X;L3P3AB8X
AP3AB8X;LAP3AB8X
bP3AC5X;LAP3AC5X
vP3AC6X;L3P3AC6X
bP3AC6X;LAP3AC6X
vP3AC7X;L3P3AC7X
UbP3A1TX;UAP3A1TX
AP3A8JX;UAP3A8JX
3P3BE8X;U3P3A8JX
AP3BE8X;LAP3BE8X
AP3BE46;LAP3BE46
vP3BE9x;L3P3BE9X
AP3BE9x;LAP3BE9X
3P3BF1X;L3P3BF1X
AP3BF1X;LAP3BF1X
UvP3FMS6;U3P3FMS6
UbP3FMS6;UAP3FMS6
U3P3ZC26;U3P3ZC25
3P3MF56;L3P3MF56
AP3MF56;LAP3MF56
vP3M58X;L3P3M58X
bP3M58X;LAP3M58X
vP3SLE2;U3P3SLE2
bP3SLE2;UAP3SLE2
3P3SFRX;L3P3SFRX
vP3AB9X;L3P3AB9X
vP3VPO5;L3P3VPO5
U3P3MX5D;U3P3MX5D 
3P3S7SX;L3P3S7SX
3P3A8SX;L3P3A8SX
L3P3VGR7;L3P3VGR8
3P3HC10;L3P3HC10
AP3HC10;LAP3HC10
P3ESVA;P3ESVA 
3P3TA90;L3P3TA90
AP3TA90;LAP3TA90
3P3SFR2;L3P3SFR2
AP3SFR2;LAP3SFR2
