reference;wholesale_price;price
EVE-S1-CF-INT;365,4;609
EVE-8YS3-CF-INT;799,8;1333
EVE-2TFSI-CF-INT;531;885
EVE-8VRS3-CF-LHD-INT;988,2;1647
EVE-8VRS3-CF-RHD-INT;988,2;1647
EVE-ST38V8S-CF-INT;1028,4;1714
EVE-RSQ3-DCT;240;400
EVE-ST38V8S-CF-HDP;468,6;781
EVE-ST38Y-CF-INT;1028,4;1714
EVE-TRB8V8S-LHD-NIL ;342,6;571
EVE-TRB8V8S-RHD-NIL ;342,6;571
EVE-TRB8V8S-FLG-STK;28,2;47
EVE-TRB8V8S-FLG-TTE;28,2;47
EVE-TRB8V8S-FLG-SRM;28,2;47
EVE-ST38V8S-CF-ENG;342,6;571
EVE-RSQ3-CF-INT;1028,4;1714
EVE-RSQ3-DWNA;42,6;71
EVE-RS5-INT;1455;2425
EVE-RS4-CF-SLM;485,4;809
EVE-RS5-CF-SLM;485,4;809
EVE-RS5-CF-ENG;457,2;762
EVE-B9S5-CF-INT;828;1380
EVE-B9RS5-CF-INT;942,6;1571
EVE-C7S6-CF-INT;1342,8;2238
EVE-4V8TT-CF-INT;1631,4;2719
EVE-C7RS6-CF-INT;1342,8;2238
EVE-C8RS6-CF-INT;1590;2650
EVE-C8RS6-CFM-INT;1590;2650
EVE-C8RS6-TTE;262,8;438
EVE-C8RS6-CF-ENG;378;630
EVE-C8RS6-CFM-ENG;378;630
EVE-C8RS6-PCV;42;70
EVE-4V8TT-CF-INT;1631,4;2719
EVE-HCN-CF-INT;1326;2210
EVE-4V8TT-CF-INT;1631,4;2719
EVE-B58-CF-INT;742,8;1238
EVE-B58F-CF-ENG;371,4;619
EVE-E39-INT;742,8;1238
EVE-E46-INT;556,8;928
EVE-E46-SC;105,6;176
EVE-E60-CF-INT;777;1295
EVE-E9X-CF-INT;496,8;828
EVE-E9X-CFM-INT;496,8;828
EVE-E9X-CF-PLM;1342,8;2238
EVE-E9X-CFM-PLM;1342,8;2238
EVE-E9X-CF-ARB;342,6;571
EVE-E9X-CFM-ARB;342,6;571
EVE-E9X-CF-DCT;477;795
EVE-E9X-CFM-DCT;477;795
EVE-S55-CF-CHG;474;790
EVE-S62-CF-PLM;714;1190
EVE-F8XMV2-CF-INT;1435,2;2392
EVE-F8XM-CF-SBC;628,2;1047
EVE-F8XM-CF-ENG;428,4;714
EVE-F9XM5M8-CF-INT;1257;2095
EVE-F90M5-CF-SHR;171;285
EVE-F9XM5M8-CHG;378;630
EVE-F10M5-INT;1266;2110
EVE-F1XM6-INT;1350;2250
EVE-F4XB48-CF-INT;742,8;1238
EVE-M2C-CF-INT;1188;1980
EVE-N55V2-CF-INT;788,4;1314
EVE-N55-ENG;486;810
EVE-N55-M2-ENG;486;810
EVE-FX34M-CF-INT;799,8;1333
EVE-FX34M-LCI-INT;799,8;1333
EVE-Z4M-INT;486;810
EVE-G20B48-V1-INT;799,8;1333
EVE-G20B48-V2-INT;799,8;1333
EVE-G20B58-V1-INT;799,8;1333
EVE-G20B58-V2-INT;799,8;1333
EVE-G20B48-CF-ENG;342,6;571
EVE-Z4B58-CF-INT;799,8;1333
EVE-G29Z4-B48-INT;799,8;1333
EVE-G8XM-CF-ENG;540;900
EVE-G8XM-CFM-ENG;540;900
EVE-G8XMV2-CF-INT;1590;2650
EVE-G8XMV2-CFM-INT;1590;2650
EVE-G8XCSL-CF-KIT;372;620
EVE-G8XCSL-CFM-KIT;372;620
EVE-C8VT-CF-INT;1368;2280
EVE-C8HTC-CF-INT;1368;2280
EVE-C8VT-CF-ENG;330;550
EVE-FK2-CF-MAF;142,8;238
EVE-FK2V2-CF-LHD-INT;725,4;1209
EVE-FK2V2-CF-RHD-INT;725,4;1209
EVE-FK8FK2-ENG;285,6;476
EVE-FK2-CF-CHG;399;665
EVE-FK2V2-CF-CHG;502,8;838
EVE-FK8-CF-INT;828;1380
EVE-FK8V2-CF-MAF;196,8;328
EVE-FK8FK2-ENG;285,6;476
EVE-FK8-CF-CHG;399;665
EVE-FK8V2-CF-CHG;502,8;838
EVE-HCN-CF-INT;1326;2210
EVE-HCN-CFM-ENG;2610;4350
EVE-4V8TT-CF-INT;1631,4;2719
EVE-A35-CF-INT;742,8;1238
EVE-A35-CF-CHG;428,4;714
EVE-A45S-CF-INT;799,8;1333
EVE-AMGGT-CF-INT;1428;2380
EVE-AMGGT-CFM-INT;1428;2380
EVE-C63S-CF-INT;1628,4;2714
EVE-C63S-DCT;97,2;162
EVE-GLC63S-CF-INT;1628,4;2714
EVE-JCWGP3-INT;925,2;1542
EVE-F60-306-INT;783;1305
EVE-F56-CF-INT;925,2;1542
EVE-F56-LCI-CF-INT;925,2;1542
EVE-F56-PL-INT;571,2;952
EVE-F56-LCI-PL-INT;571,2;952
EVE-F60-CF-INT;782,4;1304
EVE-F60-LCI-CF-INT;782,4;1304
EVE-F60-PL-INT;399;665
EVE-F60-LCI-PL-INT;399;665
EVE-P991T-INT;1342,8;2238
EVE-GT3RS-INT;1342,8;2238
EVE-4V8TT-CF-INT;1631,4;2719
EVE-2TFSI-CF-INT;531;885
EVE-EA8884-GTi-INT;799,8;1333
EVE-EA8884-R-INT;799,8;1333
EVE-ST38Y-CF-INT;1028,4;1714
EVE-A90-CF-INT;799,8;1333
EVE-A90B48-INT;799,8;1333
EVE-A90-CF-HDP;474;790
EVE-A90-CF-ENG;342;570
EVE-GR4-CF-ENG;342;570
EVE-GR4-CFM-ENG;342;570
EVE-GR4-CF-INT;780;1300
EVE-GR4-CFM-INT;780;1300
EVE-GR4CR-CF-INT;864;1440
EVE-GR4CR-CFM-INT;864;1440
EVE-2TFSI-CF-INT;531;885
EVE-EA8884-R-INT;799,8;1333
EVE-EA8884-GTI-INT;799,8;1333
EVE-EA8884-CF-ENG;342;570
EVE-FLC;16,8;28
EVE-151-G2-FTR;51;85
EVE-661-G2-FTR;51;85
EVE-991-FTR ;51;85
EVE-W210-FTR ;57;95
EVE-15144-G2-FTR;51;85
EVE-W192-FTR ;57;95
EVE-1046-FTR;51;85
EVE-E46-PF;35,4;59
