reference;wholesale_price;price
VWR30G500;204,42;425,88
VWR30G5GT;314,5;655,2
VWR30G60R;314,5;655,2
VWR30S000;314,5;655,2
VWR30G700;258,8;539,18
VWR30G7ML;357,08;743,93
VWR30G7GT;357,08;743,93
VWR30G70R;357,08;743,93
VWR30G70RW;357,08;743,93
VWR30G8GT;357,08;743,93
VWR30G80R;357,08;743,93
VWR31A000;119,4;248,75
VWR31S000;119,4;248,75
VWR3130RS;107,5;268,74
VWR3131S3;107,5;268,74
VWR3141S4;128,99;268,74
VWR31G5GT;119,4;248,75
VWR31G60R;119,4;248,75
VWR31G70R;107,5;268,74
VWR31G70RW;107,5;268,74
VWR31G7GT;107,5;268,74
VWR31G7ML;128,99;268,74
VWR31G80R;107,5;268,74
VWR31ID00;125,58;313,95
VWR31G8GT;107,5;268,74
VWR31P2GT;107,5;268,74
VWR31UPGT;93,87;195,56
VWR31F020;107,5;268,74
VWR31SK01;107,5;268,74
VWR31T120;107,5;268,74
VWR31TR01;107,5;268,74
VWR340000-G6;1883,7;3139,5
VWR340000-G7;1883,7;3139,5
VWR420000;109,2;227,5
VWR420001;109,2;227,5
VWR44G500;130,71;233,42
VWR44G700;116,95;208,85
VWR45G501;274,42;490,04
VWR45G502;98,61;176,09
VWR45G5COMP;354,37;632,81
VWR45G701;427,3;763,04
VWR501000;128,59;288,74
VWR501001;188,37;392,44
VWR520000;91,72;191,09
VWR54G5COMP;266,78;476,39
VWR650000-ANO;1986,68;3547,64
VWR650000-BLK;1986,68;3547,64
VWR650000-BLU;1986,68;3547,64
VWR650000-RED;1986,68;3547,64
VWR650000-YEL;1986,68;3547,64
VWR650001-ANO;1910,24;3411,14
VWR650001-BLK;1910,24;3411,14
VWR650001-BLU;1910,24;3411,14
VWR650001-CHR;1910,24;3411,14
VWR650001-RED;1910,24;3411,14
VWR650001-YEL;1910,24;3411,14
VWR650002-ANO;1910,24;3411,14
VWR650002-BLK;1910,24;3411,14
VWR650002-BLU;1910,24;3411,14
VWR650002-CHR;1910,24;3411,14
VWR650002-RED;1910,24;3411,14
VWR650002-YEL;1910,24;3411,14
VWR650003-ANO;1986,68;3547,64
VWR650003-BLK;1986,68;3547,64
VWR650003-BLU;1986,68;3547,64
VWR650003-RED;1986,68;3547,64
VWR650003-YEL;1986,68;3547,64
VWR651000-ANO;4804,8;7507,5
VWR651000-BLK;4804,8;7507,5
VWR651000-BLU;4804,8;7507,5
VWR651000-RED;4804,8;7507,5
VWR651000-YEL;4804,8;7507,5
VWR651001-ANO;4804,8;7507,5
VWR651001-BLK;4804,8;7507,5
VWR651001-BLU;4804,8;7507,5
VWR651001-RED;4804,8;7507,5
VWR651001-YEL;4804,8;7507,5
VWR652000-BLK;1046,96;2013,38
VWR652000-BLU;1046,96;2013,38
VWR652000-RED;1046,96;2013,38
VWR652001-BLK;1046,96;2013,38
VWR652001-RED;1046,96;2013,38
VWR652002-BLK;1046,96;2013,38
VWR652002-RED;1046,96;2013,38
VWR652003-BLK;1046,96;2013,38
VWR652003-RED;1046,96;2013,38
VWR620005MM;57,33;102,38
VWR670004;65,52;136,5
VWR670005;40,95;85,31
VWR670006;81,9;170,63
VWR670007;40,95;85,31
VWR670008;40,95;85,31
VWR682000;129,45;249,99
VWR680020;2917,95;5210,63
VWR69G7FR;42,59;88,73
VWR680012;3034,67;5419,05
VWR680013;3034,67;5419,05
VWR69G7RR;42,59;88,73
VWR69G7KIT;72,07;150,15
VWR69000BF1;7,64;19,11
VWR650000-PK;129,67;249,36
VWR670000;97,62;203,39
VWR6700TRACK;245,97;361,73
VWR670001;95;197,93
VWR670002;140,87;293,48
VWR670003;198,74;354,9
VWR670009;91,07;189,74
VWR6700CARBON;229,32;358,31
VWR680000;327,6;546
VWR680001;327,6;546
VWR680002;307,13;511,88
VWR680003;368,55;614,25
VWR680004;409,5;682,5
VWR680005;153,15;255,26
VWR680006;24,57;40,95
VWR680007;24,57;40,95
VWR680008;163,5;273
VWR680011;245,7;409,5
VWR680014;307,13;511,88
VWR680015;18,02;30,03
VWR680016;18,02;30,03
VWR1130RS;36,04;75,08
VWR1140S4;60,39;107,84
VWR1141S4;65,52;136,5
VWR119052;141,41;252,53
VWR119042;141,41;252,53
VWR11A001;36,04;75,08
VWR11G501;32,76;68,25
VWR11G502;32,76;68,25
VWR11G503;32,76;68,25
VWR11G701;39,31;81,9
VWR11G714;42,59;88,73
VWR11G815;42,59;88,73
VWR11P0GT;56,57;101,01
VWR11P1GT;49,69;88,73
VWR11TR20;36,04;75,08
VWR11UPGT;44,01;84,63
