reference;wholesale_price;price
100ASC2;143,64;287,28
100ASC4;283,5;567
90ASC4;270,9;541,8
100ASC1;73,71;147,42
90ASC1;70,56;141,12
114ASC2;149,94;299,88
90ASC2;137,34;274,68
SAUC076;114,925;229,85
SAUX076;288,175;576,35
SAUC036;133,84;267,68
SAUX036;296,815;593,63
SAUS073;754,825;1509,65
SAUS073C;873,8;1747,6
SAU073;832,155;1664,31
SAU073C;951,125;1902,25
SAUC092;461,425;922,85
SAUS088;1057,875;2115,75
SAUS088CF;1282,01;2564,02
SAU088CF;1339,76;2679,52
SAU088;1110,375;2220,75
SAUS030;517,5;1035
SAUS030C;546,64;1093,28
SAUC030;104,09;208,18
SAUC054;136,21;272,42
SAUS080CF;717,94;1435,88
SAU080CF;764,245;1528,49
SAUS079CF;948,94;1897,88
SAU079CF;995,245;1990,49
SAUC079;386,35;772,7
SAUX079;490,3;980,6
SAUC106;417,85;835,7
SAUX106;521,8;1043,6
SAUS106CF;937,85;1875,7
SAUS107CF;704,75;1409,5
SAU106CF;984,155;1968,31
SAU107CF;751,055;1502,11
SAUC089;414,75;829,5
SAUX089;603,75;1207,5
SAU083CF;1010,665;2021,33
SAUS083CF;964,36;1928,72
SAUS084CF;733,36;1466,72
SAU084CF;779,665;1559,33
SAU083;981,175;1962,35
SAU084;750,175;1500,35
SAU048SYS;1040,35;2080,7
SAU048;772,68;1545,36
SAU087U;524,475;1048,95
SAUS087CF;1347,12;2694,24
SAU087CF;1447,605;2895,21
SAUP087;168,255;336,51
SAUS087;875,145;1750,29
SAU087;975,625;1951,25
SAUC112;414,75;829,5
SAUX112;603,75;1207,5
SAUS112;783,65;1567,3
SAUS113;522,05;1044,1
SAUC045;273,21;546,42
SAUX045;451,66;903,32
SAUS045;766,535;1533,07
SAUS045D;826,025;1652,05
SAU045D;885,505;1771,01
SAU045;826,025;1652,05
SAUS108CF;1046,865;2093,73
SAUS108;914,085;1828,17
SAUS108C;961,65;1923,3
SAUS109CF;820,065;1640,13
SAUS109;687,285;1374,57
SAUS109C;734,85;1469,7
SAU108CF;1133,49;2266,98
SAU108;1000,71;2001,42
SAU108C;1048,275;2096,55
SAU109CF;906,69;1813,38
SAU109;773,91;1547,82
SAU109C;821,475;1642,95
SAUC074;203,43;406,86
SAUX074;367,6;735,2
SAUS074;356,3;712,6
SAUS074C;385,455;770,91
SAUS094;709,185;1418,37
SAUS094CF;835,185;1670,37
SAUS093;990,29;1980,58
SAUS093CF;1116,29;2232,58
SAU094;795,81;1591,62
SAU094CF;921,81;1843,62
SAU093;1076,915;2153,83
SAU093CF;1202,915;2405,83
SAUS098CF;1001,155;2002,31
SAUS096;967,005;1934,01
SAUS096C;1014,57;2029,14
SAUS096CF;1099,785;2199,57
SAUS097;712,485;1424,97
SAUS097C;760,05;1520,1
SAUS097CF;845,265;1690,53
SAU098CF;1087,78;2175,56
SAU096C;1101,195;2202,39
SAU096CF;1186,41;2372,82
SAU097;799,11;1598,22
SAU097C;846,675;1693,35
SAU097CF;931,89;1863,78
SAU099CF;833,26;1666,52
SAUS099CF;746,635;1493,27
SAU096;1053,63;2107,26
SAUP106;204,225;408,45
SAUP044;237,335;474,67
SAU044;684,05;1368,1
SAU044C;731,635;1463,27
SAUC090;230,425;460,85
SAUX090;403,675;807,35
SAUS090;969,205;1938,41
SAUS090CF;1101,985;2203,97
SAUS091;642,045;1284,09
SAUS091CF;774,825;1549,65
SAUP090;80,275;160,55
SAU090;1016,79;2033,58
SAU090CF;1149,57;2299,14
SAU091;689,63;1379,26
SAU091CF;822,415;1644,83
SAUC040;213,545;427,09
SAUX040;344,405;688,81
SAU040C;350,935;701,87
SAU040;327,155;654,31
SAUC075;213,545;427,09
SAUX075;344,405;688,81
SAUS042C;409,82;819,64
SAUS042;386,04;772,08
SAU042;404,48;808,96
SAU042C;428,26;856,52
SAUS057;339,43;678,86
SAUS057C;363,21;726,42
SAU057;357,865;715,73
SAU057C;381,65;763,3
SAU025M;314,66;629,32
SAU025;374,145;748,29
SAU024;220,82;441,64
SAUS032;314,66;629,32
SAUC032;177,85;355,7
SAUX032;342,025;684,05
SAUS026;371,765;743,53
SAU026;415,785;831,57
SAUS085;576,925;1153,85
SAUS085C;600,705;1201,41
SAUS085CF;643,315;1286,63
SAUS086CF;515,8;1031,6
SAUS086;449,41;898,82
SAUS086C;473,195;946,39
SAU085;634,675;1269,35
SAU085C;658,455;1316,91
SAU085CF;701,065;1402,13
SAU086;507,16;1014,32
SAU086C;530,945;1061,89
SAU086CF;573,55;1147,1
SAUC077;490,3;980,6
SAUX077;635,25;1270,5
SAU077;576,925;1153,85
SAUX027;104,09;208,18
SAU077VR;39,85;79,7
SAUC026;177,85;355,7
SAUX026;342,02;684,04
SAUC055;223,06;446,12
SAUX055;397,345;794,69
SAUS055;844,06;1688,12
SAU055;915,435;1830,87
SAU081CF;995,245;1990,49
SAU082CF;764,245;1528,49
SAUS081CF;948,94;1897,88
SAUS082CF;717,94;1435,88
SBM085;550,725;1101,45
SBM085CF;613,725;1227,45
SBMP085;130,725;261,45
SBMP092;141,225;282,45
SBM092CF;544,93;1089,86
SBM092;478,54;957,08
SBM092C;502,32;1004,64
SBMS094;604,62;1209,24
SBMS094C;633,78;1267,56
SBMS094CF;682,68;1365,36
SBMP094;160,605;321,21
SBM005;218,35;436,7
SBM012;311,445;622,89
SBMB002;158,06;316,12
SBM016;405,39;810,78
SBM010S;268,59;537,18
SBM096S;273,5;547
SBM096DTM;288,5;577
SBM011;282,07;564,14
SBM051;273,565;547,13
SBMB051;201,345;402,69
SBMB052;201,345;402,69
SBM093DT;628,185;1256,37
SBM093;526,69;1053,38
SBM093D;582,255;1164,51
SBM093DTM;546,285;1092,57
SBMB048;223,755;447,51
SBM093B2;57,225;114,45
SBM093B;31,5;63
SBMC050;177,85;355,7
SBM050;639,435;1278,87
SBMR050;326,56;653,12
SBMB050;316,185;632,37
SBM061M;401,135;802,27
SBM064M;370,225;740,45
SBMB062;475,26;950,52
SBMP082;115,42;230,84
SBMS082;422,575;845,15
SBMS082CF;495,525;991,05
SBMS073;1010,605;2021,21
SBMS073C;1068,9;2137,8
SBMS073CF;1166,725;2333,45
SBMC073;165,96;331,92
SBMX073;499,06;998,12
SBMC066;133,84;267,68
SBM066;505,01;1010,02
SBM066C;534,75;1069,5
SBMC067;133,84;267,68
SBMC083;183,225;366,45
SBMX083;382,725;765,45
SBMP083;130,725;261,45
SBM083;523,39;1046,78
SBM083C;579,91;1159,82
SBM083I;523,39;1046,78
SBM083IC;579,91;1159,82
SBM083CF;564,675;1129,35
SBMC074;258,51;517,02
SBMX074;393,225;786,45
SBMS076;543,435;1086,87
SBMS076C;567,215;1134,43
SBMS076CF;609,825;1219,65
SBMP076;201,89;403,78
SBMP086;201,89;403,78
SBMP081;198,975;397,95
SBMS081CF;1189,195;2378,39
SBMS081;1033,075;2066,15
SBM075;1009,695;2019,39
SBM075C;1068;2136
SBM075CF;1165,81;2331,62
SBMC075;242,8;485,6
SBMV067DC;623,375;1246,75
SBMV067D;594,23;1188,46
SBMC068;177,855;355,71
SBMP088;130,725;261,45
SBM089;455,055;910,11
SBM088;629,69;1259,38
SBM088C;688,005;1376,01
SBM088CF;785,805;1571,61
SBMS074;555,805;1111,61
SBMS074C;584,96;1169,92
SBMS074CF;633,865;1267,73
SBMP087;383,25;766,5
SBM084;980,78;1961,56
SBM084CF;1106,78;2213,56
SBMP091;362,88;725,76
SBM090;1025,01;2050,02
SBM090CF;1151,01;2302,02
SBM071;534,75;1069,5
SCNC014;76,735;153,47
SCNX014;237,335;474,67
SCNS014;326,56;653,12
SCN014;350,35;700,7
SSTS016;665,26;1330,52
SSTS016C;723,555;1447,11
SSTS016CF;833,95;1667,9
SSTS015;954,01;1908,02
SSTS015C;1012,305;2024,61
SSTS015CF;1122,725;2245,45
SST016;751,885;1503,77
SST016C;810,18;1620,36
SST016CF;920,575;1841,15
SST015;1040,635;2081,27
SST015C;1098,93;2197,86
SST015CF;1209,33;2418,66
SFT005C;425,295;850,59
SFT005;401,51;803,02
SFT005CF;467,9;935,8
SFTC006;143,8;287,6
SFDC078;189,745;379,49
SFDX078;324,18;648,36
SFDS078ECO;320,61;641,22
SFDS078ST;350,35;700,7
SFDB078ECO;261,125;522,25
SFDB078ST;290,87;581,74
SFDS078U;81,72;163,44
