reference;wholesale_price;price;;
M-FI/SS/1H;718,935;958,58;;
TP-CS/1;547,95;730,6;;
TP-T/S/2;537,7125;716,95;;
P-HF876;558,4125;744,55;;
TP-T/S/2;537,7125;716,95;;
TP-CS/1;547,95;730,6;;
M-FI/SS/1H/1;718,935;958,58;;
P-HF876;558,4125;744,55;;
P-HF876;558,4125;744,55;;
M-FI/SS/1H/1;718,935;958,58;;
TP-CS/1;547,95;730,6;;
TP-T/S/2;537,7125;716,95;;
S-AR/TI/1H;3540,0375;4720,05;;
DP-AR/SS/2;794,7975;1059,73;;
P-X227;44,6775;59,57;;
P-HF1160;392,9325;523,91;;
E-AR/T/1;1062,705;1416,94;;
S-AR/TI/7H;3908,595;5211,46;;
S-AR/TI/6H;3908,595;5211,46;;
P-HF1321;392,9325;523,91;;
P-HF880;403,455;537,94;;
P-HF946;403,455;537,94;;
S-AUR8SO3-T;6404,8275;8539,77;;
DI-AU/CA/2/G;911,25;1215;;
P-HF1433;328,05;437,4;;
S-AU/TI/24H;4312,5;5750;;
S-AU/TI/24H;4312,5;5750;;
P-HF1433;328,05;437,4;;
DI-AU/CA/2/G;911,25;1215;;
DI-AU/CA/2/G;911,25;1215;;
P-HF1433;328,05;437,4;;
S-AU/TI/23H;4177,5;5570;;
S-AU/TI/23H;4177,5;5570;;
P-HF1433;328,05;437,4;;
DI-AU/CA/2/G;911,25;1215;;
S-AU/TI/3H;6313,965;8418,62;;
DI-AU/CA/1/G;1893,21;2524,28;;
P-HF1282;352,7475;470,33;;
L-AU/SS/6;888,5625;1184,75;;
S-AU/TI/15H;6030,045;8040,06;;
DI-AU/CA/1/M;1652,1;2202,8;;
S-AU/TI/15H;6030,045;8040,06;;
L-AU/SS/6;888,5625;1184,75;;
P-HF1282;352,7475;470,33;;
DI-AU/CA/1/G;1893,21;2524,28;;
DI-AU/CA/1/M;1652,1;2202,8;;
S-AU/TI/19H;6030,045;8040,06;;
L-AU/SS/8;1174,5;1566;;
S-AU/TI/4H;6313,965;8418,62;;
DI-AU/CA/1/M;1652,1;2202,8;;
S-AU/TI/15H;6030,045;8040,06;;
DI-AU/CA/1/G;1893,21;2524,28;;
P-HF1282;352,7475;470,33;;
L-AU/SS/6;888,5625;1184,75;;
L-AU/SS/6;888,5625;1184,75;;
S-AU/TI/15H;6030,045;8040,06;;
DI-AU/CA/1/M;1652,1;2202,8;;
P-HF1282;352,7475;470,33;;
DI-AU/CA/1/G;1893,21;2524,28;;
L-AU/SS/8;1174,5;1566;;
S-AU/TI/19H;6030,045;8040,06;;
S-AU/TI/20H;5815,125;7753,5;;
P-HF1284;352,7475;470,33;;
P-HF1284;352,7475;470,33;;
S-AU/TI/20H;5815,125;7753,5;;
P-HF1369;300,3975;400,53;;
S-AU/TI/18H;3450,6;4600,8;;
S-AU/TI/18H;3450,6;4600,8;;
P-HF1369;300,3975;400,53;;
P-HF1369;300,3975;400,53;;
S-AU/TI/17H;3235,95;4314,6;;
S-AU/TI/17H;3235,95;4314,6;;
P-HF1369;300,3975;400,53;;
P-HF877;740,9775;987,97;;
S-AU/TI/6H;5726,9325;7635,91;;
S-AU/TI/6H;5726,9325;7635,91;;
P-HF878;633,5925;844,79;;
ME-BM/T/3;3620,115;4826,82;;
TP-CT/5;1064,5125;1419,35;;
M-BM/T/4H;1683,57;2244,76;;
S-BME90/91/335;3877,8675;5170,49;;
MTP-BM/SS/1H;1918,2525;2557,67;;
E-BM/SS/1;557,895;743,86;;
MTP-BM/SS/2H;1949,85;2599,8;;
E-BM/SS/2;566,79;755,72;;
WM-BM/CA/1/M;401,865;535,82;;
WM-BM/CA/1/G;491,1675;654,89;;
WM-BM/CA/1/G;491,1675;654,89;;
WM-BM/CA/1/M;401,865;535,82;;
P-HF1179;351,3525;468,47;;
S-BM/T/6H;2174,985;2899,98;;
E-BM/SS/1;557,895;743,86;;
MTP-BM/SS/1H;1918,2525;2557,67;;
WM-BM/CA/1/M;401,865;535,82;;
WM-BM/CA/1/G;491,1675;654,89;;
E-BM/SS/2;566,79;755,72;;
MTP-BM/SS/2H;1949,85;2599,8;;
WM-BM/CA/1/G;491,1675;654,89;;
WM-BM/CA/1/M;401,865;535,82;;
S-BM/T/6H;2174,985;2899,98;;
P-HF1179;351,3525;468,47;;
S-BM/T/15H;2686,425;3581,9;;
P-HF1312;315,4125;420,55;;
E-BM/SS/6;250,26;333,68;;
E-BM/SS/6;250,26;333,68;;
P-HF1312;315,4125;420,55;;
S-BM/T/15H;2686,425;3581,9;;
WM-BM/CA/1/M;401,865;535,82;;
WM-BM/CA/1/G;491,1675;654,89;;
E-BM/SS/3;528,96;705,28;;
MTP-BM/SS/3H;1838,46;2451,28;;
WM-BM/CA/1/G;491,1675;654,89;;
WM-BM/CA/1/M;401,865;535,82;;
P-HF1185;351,3525;468,47;;
S-BM/T/5H;2047,5825;2730,11;;
WM-BM/CA/1/M;401,865;535,82;;
WM-BM/CA/1/G;491,1675;654,89;;
DP-BM/SS/4/H;1711,4025;2281,87;;
DP-BM/SS/4;901,77;1202,36;;
DI-BM/CA/3/M;901,77;1202,36;;
DI-BM/CA/3/G;1047,5175;1396,69;;
P-HF977;408,0825;544,11;;
ME-BM/T/8H;4631,895;6175,86;;
P-HF1177;509,88;679,84;;
DP-BM/SS/3;1088,91;1451,88;;
DI-BM/CA/3/G;1047,5175;1396,69;;
DI-BM/CA/3/M;901,77;1202,36;;
E-BM/T/5;1741,4025;2321,87;;
S-BM/T/3H;3482,7975;4643,73;;
WM-BM/CA/2/G;607,26;809,68;;
WM-BM/CA/2/M;526,89;702,52;;
WM-BM/CA/2/M;526,89;702,52;;
WM-BM/CA/2/G;607,26;809,68;;
S-BM/T/3H;3482,7975;4643,73;;
E-BM/T/5;1741,4025;2321,87;;
DI-BM/CA/3/M;901,77;1202,36;;
DI-BM/CA/3/G;1047,5175;1396,69;;
DP-BM/SS/3;1088,91;1451,88;;
P-HF1177;509,88;679,84;;
S-BM/T/34H;3187,5;4250;;
DP-BM/SS/8;2423,925;3231,9;;
DP-BM/SS/9;1424,5875;1899,45;;
E-BM/T/12;1467,1125;1956,15;;
WI-BM/CA/1/G;2673,75;3565;;
P-HF1523;93,75;125;;
TP-CT/69;1271,4975;1695,33;;
TP-CT/68;1177,9425;1570,59;;
WM-BM/CA/4/M;806,25;1075;;
WM-BM/CA/4/G;892,5;1190;;
E-BM/SS/9;1012,5;1350;;
P-HF1384;338,67;451,56;;
DI-BM/CA/10/M;1046,25;1395;;
DI-BM/CA/10/G;1162,5;1550;;
DI-BM/CA/10/G;1162,5;1550;;
DI-BM/CA/10/M;1046,25;1395;;
P-HF1384;338,67;451,56;;
E-BM/SS/9;1012,5;1350;;
WM-BM/CA/4/G;892,5;1190;;
WM-BM/CA/4/M;806,25;1075;;
TP-CT/68;1177,9425;1570,59;;
TP-CT/69;1271,4975;1695,33;;
P-HF1523;93,75;125;;
WI-BM/CA/1/G;2673,75;3565;;
E-BM/T/12;1467,1125;1956,15;;
DP-BM/SS/9;1424,5875;1899,45;;
DP-BM/SS/8;2423,925;3231,9;;
S-BM/T/34H;3187,5;4250;;
P-HF1177;509,88;679,84;;
DP-BM/SS/3;1088,91;1451,88;;
DI-BM/CA/3/G;1047,5175;1396,69;;
DI-BM/CA/3/M;901,77;1202,36;;
E-BM/T/5;1741,4025;2321,87;;
S-BM/T/3H;3482,7975;4643,73;;
