reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VWR30G500;204,42;340,7;340,7;255,53;425,88;;;30
VWR30G5GT;314,5;524,16;524,16;393,12;655,2;;;30
VWR30G60R;314,5;524,16;524,16;393,12;655,2;;;30
VWR30S000;314,5;524,16;524,16;393,12;655,2;;;30
VWR30G700;258,8;431,34;431,34;323,51;539,18;;;30
VWR30G7ML;357,08;595,14;595,14;446,36;743,93;;;30
VWR30G7GT;357,08;595,14;595,14;446,36;743,93;;;30
VWR30G70R;357,08;595,14;595,14;446,36;743,93;;;30
VWR30G70RW;357,08;595,14;595,14;446,36;743,93;;;30
VWR30G8GT;357,08;595,14;595,14;446,36;743,93;;;30
VWR30G80R;357,08;595,14;595,14;446,36;743,93;;;30
VWR31A000;119,4;199;199;149,25;248,75;;;30
VWR31S000;119,4;199;199;149,25;248,75;;;30
VWR3130RS;107,5;214,99;214,99;134,37;268,74;;;40
VWR3131S3;107,5;214,99;214,99;134,37;268,74;;;40
VWR3141S4;128,99;214,99;214,99;161,24;268,74;;;30
VWR31G5GT;119,4;199;199;149,25;248,75;;;30
VWR31G60R;119,4;199;199;149,25;248,75;;;30
VWR31G70R;107,5;214,99;214,99;134,37;268,74;;;40
VWR31G70RW;107,5;214,99;214,99;134,37;268,74;;;40
VWR31G7GT;107,5;214,99;214,99;134,37;268,74;;;40
VWR31G7ML;128,99;214,99;214,99;161,24;268,74;;;30
VWR31G80R;107,5;214,99;214,99;134,37;268,74;;;40
VWR31ID00;125,58;251,16;251,16;156,98;313,95;;;40
VWR31G8GT;107,5;214,99;214,99;134,37;268,74;;;40
VWR31P2GT;107,5;214,99;214,99;134,37;268,74;;;40
VWR31UPGT;93,87;156,45;156,45;117,34;195,56;;;30
VWR31F020;107,5;214,99;214,99;134,37;268,74;;;40
VWR31SK01;107,5;214,99;214,99;134,37;268,74;;;40
VWR31T120;107,5;214,99;214,99;134,37;268,74;;;40
VWR31TR01;107,5;214,99;214,99;134,37;268,74;;;40
VWR340000-G6;1883,7;2511,6;2511,6;2354,63;3139,5;;;15
VWR340000-G7;1883,7;2511,6;2511,6;2354,63;3139,5;;;15
VWR420000;109,2;182;182;136,5;227,5;;;30
VWR420001;109,2;182;182;136,5;227,5;;;30
VWR44G500;130,71;186,73;186,73;163,39;233,42;;;20
VWR44G700;116,95;167,08;167,08;146,2;208,85;;;20
VWR45G501;274,42;392,03;392,03;343,03;490,04;;;20
VWR45G502;98,61;140,87;140,87;123,26;176,09;;;20
VWR45G5COMP;354,37;506,25;506,25;442,97;632,81;;;20
VWR45G701;427,3;610,43;610,43;534,13;763,04;;;20
VWR501000;139;230,99;230,99;173,76;288,74;;;30
VWR501001;188,37;313,95;313,95;235,46;392,44;;;30
VWR520000;91,72;152,87;152,87;114,65;191,09;;;30
VWR54G5COMP;266,78;381,11;381,11;333,47;476,39;;;20
VWR650000-ANO;1986,68;2838,11;2838,11;2483,35;3547,64;;;20
VWR650000-BLK;1986,68;2838,11;2838,11;2483,35;3547,64;;;20
VWR650000-BLU;1986,68;2838,11;2838,11;2483,35;3547,64;;;20
VWR650000-RED;1986,68;2838,11;2838,11;2483,35;3547,64;;;20
VWR650000-YEL;1986,68;2838,11;2838,11;2483,35;3547,64;;;20
VWR650001-ANO;1910,24;2728,91;2728,91;2387,8;3411,14;;;20
VWR650001-BLK;1910,24;2728,91;2728,91;2387,8;3411,14;;;20
VWR650001-BLU;1910,24;2728,91;2728,91;2387,8;3411,14;;;20
