Reference;Price;Purchase In Euro;Client Discount;Purchase in GBP
VWR30G500;425,88;255,528;30;204,42
VWR30G5GT;655,2;393,12;30;314,5
VWR30G60R;655,2;393,12;30;314,5
VWR30S000;655,2;393,12;30;314,5
VWR30G700;539,18;323,508;30;258,8
VWR30G7ML;743,93;446,358;30;357,08
VWR30G7GT;743,93;446,358;30;357,08
VWR30G70R;743,93;446,358;30;357,08
VWR30G70RW;743,93;446,358;30;357,08
VWR30G8GT;743,93;446,358;30;357,08
VWR30G80R;743,93;446,358;30;357,08
VWR31A000;248,75;149,25;30;119,4
VWR31S000;248,75;149,25;30;119,4
VWR3130RS;268,74;134,37;40;107,5
VWR3131S3;268,74;134,37;40;107,5
VWR3141S4;268,74;161,244;30;128,99
VWR31G5GT;248,75;149,25;30;119,4
VWR31G60R;248,75;149,25;30;119,4
VWR31G70R;268,74;134,37;40;107,5
VWR31G70RW;268,74;134,37;40;107,5
VWR31G7GT;268,74;134,37;40;107,5
VWR31G7ML;268,74;161,244;30;128,99
VWR31G80R;268,74;134,37;40;107,5
VWR31ID00;313,95;156,975;40;125,58
VWR31G8GT;268,74;134,37;40;107,5
VWR31P2GT;268,74;134,37;40;107,5
VWR31UPGT;195,56;117,336;30;93,87
VWR31F020;268,74;134,37;40;107,5
VWR31SK01;268,74;134,37;40;107,5
VWR31T120;268,74;134,37;40;107,5
VWR31TR01;268,74;134,37;40;107,5
VWR340000-G6;3139,5;2354,625;15;1883,7
VWR340000-G7;3139,5;2354,625;15;1883,7
VWR420000;227,5;136,5;30;109,2
VWR420001;227,5;136,5;30;109,2
VWR44G500;233,42;163,394;20;130,71
VWR44G700;208,85;146,195;20;116,95
VWR45G501;490,04;343,028;20;274,42
VWR45G502;176,09;123,263;20;98,61
VWR45G5COMP;632,81;442,967;20;354,37
VWR45G701;763,04;534,128;20;427,3
VWR501000;288,74;173,763732;29,82;139
VWR501001;392,44;235,464;30;188,37
VWR520000;191,09;114,654;30;91,72
VWR54G5COMP;476,39;333,473;20;266,78
VWR650000-ANO;3547,64;2483,348;20;1986,68
VWR650000-BLK;3547,64;2483,348;20;1986,68
VWR650000-BLU;3547,64;2483,348;20;1986,68
VWR650000-RED;3547,64;2483,348;20;1986,68
VWR650000-YEL;3547,64;2483,348;20;1986,68
VWR650001-ANO;3411,14;2387,798;20;1910,24
VWR650001-BLK;3411,14;2387,798;20;1910,24
VWR650001-BLU;3411,14;2387,798;20;1910,24
VWR650001-CHR;3411,14;2387,798;20;1910,24
VWR650001-RED;3411,14;2387,798;20;1910,24
VWR650001-YEL;3411,14;2387,798;20;1910,24
VWR650002-ANO;3411,14;2387,798;20;1910,24
VWR650002-BLK;3411,14;2387,798;20;1910,24
VWR650002-BLU;3411,14;2387,798;20;1910,24
VWR650002-CHR;3411,14;2387,798;20;1910,24
VWR650002-RED;3411,14;2387,798;20;1910,24
VWR650002-YEL;3411,14;2387,798;20;1910,24
VWR650003-ANO;3547,64;2483,348;20;1986,68
VWR650003-BLK;3547,64;2483,348;20;1986,68
