"Manufacturer,""Price"",""Reference"",""Name"",""Category"""
"Racingline,""425.88"",""VWR30G500"",""Racingline Sport Damper Kit / A5-Platform: Golf 5/6, A3/S3 8P, Scirocco, Leon 2, Octavia 2  (55mm strut)  "",""Suspension Kits And Spring Kits """
"Racingline,""655.20"",""VWR30G5GT"",""Racingline Sport Spring & Damper Kit / A5-Platform FWD: Golf 5/6, A3 8P, Leon 2 (55mm strut) "",""Suspension Kits And Spring Kits """
"Racingline,""655.20"",""VWR30G60R"",""Racingline Sport Spring & Damper Kit / A5-Platform AWD: Golf 6R, S3 8P (55mm strut)"",""Suspension Kits And Spring Kits """
"Racingline,""655.20"",""VWR30S000"",""Racingline Sport Spring & Damper Kit / A5-Platform: Scirocco (55mm strut)"",""Suspension Kits And Spring Kits """
"Racingline,""539.18"",""VWR30G700"",""Racingline Sport Damper Kit / MQB Multi Link rear (55mm strut) (not 8V S3)"",""Suspension Kits And Spring Kits """
"Racingline,""743.93"",""VWR30G7ML"",""Racingline Sport Spring & Damper Kit / MQB Platform FWD:  Golf 7, Leon III, A3 8V "",""Suspension Kits And Spring Kits """
"Racingline,""743.93"",""VWR30G7GT"",""Racingline Sport Spring & Damper Kit / MQB Platform FWD:  Golf 7 GTI, Leon III Cupra"",""Suspension Kits And Spring Kits """
"Racingline,""743.93"",""VWR30G70R"",""Racingline Sport Spring & Damper Kit / MQB Platform AWD:  Golf 7 R"",""Suspension Kits And Spring Kits """
"Racingline,""743.93"",""VWR30G70RW"",""Racingline Sport Spring & Damper Kit / MQB Platform AWD:  Golf 7 R Estate"",""Suspension Kits And Spring Kits """
"Racingline,""743.93"",""VWR30G8GT"",""Racingline Sport Spring & Damper Kit / MQB EVO: Golf 8 GTI & 2.0 GTD"",""Suspension Kits And Spring Kits """
"Racingline,""743.93"",""VWR30G80R"",""Racingline Sport Spring & Damper Kit / MQB EVO: Golf 8 R"",""Suspension Kits And Spring Kits """
"Racingline,""248.75"",""VWR31A000"",""Racingline Sports Spring Kit / Amarok"",""Suspension Kits And Spring Kits """
"Racingline,""248.75"",""VWR31S000"",""Racingline Sports Spring Kit / Scirocco / 2012 Beetle"",""Suspension Kits And Spring Kits """
"Racingline,""268.74"",""VWR3130RS"",""Racingline Sports Spring Kit / MQB / Audi S3 & RS3 8V 8Y"",""Suspension Kits And Spring Kits """
"Racingline,""268.74"",""VWR3131S3"",""Racingline Sports Spring Kit / MQBE / Audi S3 8Y"",""Suspension Kits And Spring Kits """
"Racingline,""268.74"",""VWR3141S4"",""Racingline Sports Spring Kit / Audi S4 B9 3.0T Saloon"",""Suspension Kits And Spring Kits """
"Racingline,""248.75"",""VWR31G5GT"",""Racingline Sports Spring Kit / A5-Platform FWD: Golf 5/6 GTI / Leon 2 Cupra "",""Suspension Kits And Spring Kits """
"Racingline,""248.75"",""VWR31G60R"",""Racingline Sports Spring Kit / A5-Platform: Golf 6R / Jetta GLI / Skoda Octavia / Passat CC"",""Suspension Kits And Spring Kits """
"Racingline,""268.74"",""VWR31G70R"",""Racingline Sports Spring Kit / MQB AWD: Golf 7R"",""Suspension Kits And Spring Kits """
"Racingline,""268.74"",""VWR31G70RW"",""Racingline Sports Spring Kit / MQB AWD: Golf 7R Estate"",""Suspension Kits And Spring Kits """
"Racingline,""268.74"",""VWR31G7GT"",""Racingline Sports Spring Kit / MQB FWD: Golf 7 GTI, Leon 3 Cupra"",""Suspension Kits And Spring Kits """
