reference;wholesale_price;price;;;;;;discount
VWR30G500;255,528;425,88;;;;;;30
VWR30G5GT;393,12;655,2;;;;;;30
VWR30G60R;393,12;655,2;;;;;;30
VWR30S000;393,12;655,2;;;;;;30
VWR30G700;323,508;539,18;;;;;;30
VWR30G7ML;446,358;743,93;;;;;;30
VWR30G7GT;446,358;743,93;;;;;;30
VWR30G70R;446,358;743,93;;;;;;30
VWR30G70RW;446,358;743,93;;;;;;30
VWR30G8GT;446,358;743,93;;;;;;30
VWR30G80R;446,358;743,93;;;;;;30
VWR31A000;149,25;248,75;;;;;;30
VWR31S000;149,25;248,75;;;;;;30
VWR3130RS;134,37;268,74;;;;;;40
VWR3131S3;134,37;268,74;;;;;;40
VWR3141S4;161,244;268,74;;;;;;30
VWR31G5GT;149,25;248,75;;;;;;30
VWR31G60R;149,25;248,75;;;;;;30
VWR31G70R;134,37;268,74;;;;;;40
VWR31G70RW;134,37;268,74;;;;;;40
VWR31G7GT;134,37;268,74;;;;;;40
VWR31G7ML;161,244;268,74;;;;;;30
VWR31G80R;134,37;268,74;;;;;;40
VWR31ID00;156,975;313,95;;;;;;40
VWR31G8GT;134,37;268,74;;;;;;40
VWR31P2GT;134,37;268,74;;;;;;40
VWR31UPGT;117,336;195,56;;;;;;30
VWR31F020;134,37;268,74;;;;;;40
VWR31SK01;134,37;268,74;;;;;;40
VWR31T120;134,37;268,74;;;;;;40
VWR31TR01;134,37;268,74;;;;;;40
VWR340000-G6;2354,625;3139,5;;;;;;15
VWR340000-G7;2354,625;3139,5;;;;;;15
VWR420000;136,5;227,5;;;;;;30
VWR420001;136,5;227,5;;;;;;30
VWR44G500;163,394;233,42;;;;;;20
VWR44G700;146,195;208,85;;;;;;20
VWR45G501;343,028;490,04;;;;;;20
VWR45G502;123,263;176,09;;;;;;20
VWR45G5COMP;442,967;632,81;;;;;;20
VWR45G701;534,128;763,04;;;;;;20
VWR501000;173,763732;288,74;;;;;;29,82
VWR501001;235,464;392,44;;;;;;30
VWR520000;114,654;191,09;;;;;;30
VWR54G5COMP;333,473;476,39;;;;;;20
VWR650000-ANO;2483,348;3547,64;;;;;;20
VWR650000-BLK;2483,348;3547,64;;;;;;20
VWR650000-BLU;2483,348;3547,64;;;;;;20
VWR650000-RED;2483,348;3547,64;;;;;;20
VWR650000-YEL;2483,348;3547,64;;;;;;20
VWR650001-ANO;2387,798;3411,14;;;;;;20
VWR650001-BLK;2387,798;3411,14;;;;;;20
VWR650001-BLU;2387,798;3411,14;;;;;;20
VWR650001-CHR;2387,798;3411,14;;;;;;20
VWR650001-RED;2387,798;3411,14;;;;;;20
VWR650001-YEL;2387,798;3411,14;;;;;;20
VWR650002-ANO;2387,798;3411,14;;;;;;20
VWR650002-BLK;2387,798;3411,14;;;;;;20
VWR650002-BLU;2387,798;3411,14;;;;;;20
VWR650002-CHR;2387,798;3411,14;;;;;;20
VWR650002-RED;2387,798;3411,14;;;;;;20
VWR650002-YEL;2387,798;3411,14;;;;;;20
VWR650003-ANO;2483,348;3547,64;;;;;;20
VWR650003-BLK;2483,348;3547,64;;;;;;20
VWR650003-BLU;2483,348;3547,64;;;;;;20
VWR650003-RED;2483,348;3547,64;;;;;;20
VWR650003-YEL;2483,348;3547,64;;;;;;20
VWR651000-ANO;6006;7507,5;;;;;;10
VWR651000-BLK;6006;7507,5;;;;;;10
VWR651000-BLU;6006;7507,5;;;;;;10
VWR651000-RED;6006;7507,5;;;;;;10
VWR651000-YEL;6006;7507,5;;;;;;10
VWR651001-ANO;6006;7507,5;;;;;;10
VWR651001-BLK;6006;7507,5;;;;;;10
VWR651001-BLU;6006;7507,5;;;;;;10
VWR651001-RED;6006;7507,5;;;;;;10
VWR651001-YEL;6006;7507,5;;;;;;10
VWR651002-ANO;5909,3307;7371;;;;;;9,83
VWR651002-BLK;5909,3307;7371;;;;;;9,83
VWR651002-BLU;5909,3307;7371;;;;;;9,83
VWR651002-RED;5909,3307;7371;;;;;;9,83
VWR651002-YEL;5909,3307;7371;;;;;;9,83
VWR652000-BLK;1308,697;2013,38;;;;;;25
VWR652000-BLU;1308,697;2013,38;;;;;;25
VWR652000-RED;1308,697;2013,38;;;;;;25
VWR652001-BLK;1308,697;2013,38;;;;;;25
VWR652001-RED;1308,697;2013,38;;;;;;25
VWR652002-BLK;1308,697;2013,38;;;;;;25
VWR652002-RED;1308,697;2013,38;;;;;;25
VWR652003-BLK;1308,697;2013,38;;;;;;25
VWR652003-RED;1308,697;2013,38;;;;;;25
VWR620005MM;71,666;102,38;;;;;;20
VWR670004;81,9;136,5;;;;;;30
VWR670005;51,186;85,31;;;;;;30
VWR670006;102,378;170,63;;;;;;30
VWR670007;51,186;85,31;;;;;;30
VWR670008;51,186;85,31;;;;;;30
VWR682000;161,818527;249,99;;;;;;25,27
VWR680020;4168,504;5210,63;;;;;;10
VWR680012;4335,781905;5419,05;;;;;;9,99
VWR680013;4335,781905;5419,05;;;;;;9,99
VWR69G7FR;53,238;88,73;;;;;;30
VWR69G7RR;53,238;88,73;;;;;;30
VWR69G7KIT;90,09;150,15;;;;;;30
VWR69000BF1;9,549267;19,11;;;;;;40,03
VWR650000-PK;162,084;249,36;;;;;;25
VWR670000;122,034;203,39;;;;;;30
