Scorpion;price;Reference;width;height;depth;weight;name
Scorpion;147,42;100ASC1;0.000000;0.000000;0.000000;0.000000;CORSA E 1.4 (NON TURBO) SINGLE CARBON FIBRE ASCARI TRIM
Scorpion;287,28;100ASC2;0.000000;0.000000;0.000000;0.000000;SCORPION 100ASC2 TWIN CARBON FIBRE ASCARI TRIM
Scorpion;567;100ASC4;0.000000;0.000000;0.000000;0.000000;MK7.5 GOLF R (FACELIFT) NON GPF MODEL / MK7.5 GOLF ESTATE R (FACELIFT) GPF MODEL QUAD CARBON FIBRE ASCARI TRIM
Scorpion;299,88;114ASC2;58.000000;16.000000;23.000000;2.500000;All Makes Ascari Upgrade kit Twin 114mm carbon fibre Ascari trim
Scorpion;141,12;90ASC1;0.000000;0.000000;0.000000;0.000000;MK8 1.0T ECOBOOST FIESTA ST-LINE NON GPF MODEL SINGLE CARBON FIBRE ASCARI TRIM
Scorpion;274,68;90ASC2;0.000000;0.000000;0.000000;0.000000;SCORPION 90ASC2 TWIN CARBON FIBER ASCARI TRIM
Scorpion;541,8;90ASC4;0.000000;0.000000;0.000000;0.000000;SCORPION QUAD CARBON FIBRE ASCARI TRIM
Scorpion;225;RLP-Spec;91.000000;39.000000;30.000000;7.200000;RACINGLINE SPECIAL ORDER
Scorpion;441,64;SAU024;0.000000;0.000000;0.000000;0.000000;TT MK2 2.0 TDI QUATTRO CAT-BACK SYSTEM  NON RESONATED POLISHED (STW)
Scorpion;748,29;SAU025;0.000000;0.000000;0.000000;0.000000;TT MK2 2.0 TDI QUATTRO CAT-BACK SYSTEM  NON RESONATED POLISHED (DAYTONA)
Scorpion;629,32;SAU025M;0.000000;0.000000;0.000000;0.000000;TT MK2 2.0 TDI QUATTRO CAT-BACK SYSTEM  NON RESONATED POLISHED (MONACO)
Scorpion;831,57;SAU026;0.000000;0.000000;0.000000;0.000000;TT MK2 3.2 V6 / TT S MK2 CAT-BACK SYSTEM RESONATED POLISHED
Scorpion;2621,04;SAU026-TI;0.000000;0.000000;0.000000;0.000000;TT S MK2 (TITANIUM)CAT-BACK SYSTEM   STW
