Manufacturer,Price,Reference,Fits To,Pipe Diameter,Tailpipe,Tailpipe Diameter,Valve,Notes
Scorpion,287.28,100ASC2,Scorpion Only,,Ascari,100mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,567,100ASC4,Scorpion Only,,Ascari,100mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,541.8,90ASC4,Scorpion Only,,Ascari,90mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,147.42,100ASC1,Scorpion Only,,Ascari,100mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,141.12,90ASC1,Scorpion Only,,Ascari,90mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,299.88,114ASC2,Scorpion Only,,Ascari,114mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,274.68,90ASC2,Scorpion Only,,Ascari,90mm,,"This product fits with Scorpion systems only, it will not work with an OE system."
Scorpion,229.85,SAUC076,OEM Only,80mm/3.15,,N/A,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,576.35,SAUX076,OEM Only,80mm/3.15,,N/A,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,267.68,SAUC036,OEM / Scorpion,76mm/3,,N/A,,"Fits 2wd Manual, Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,593.63,SAUX036,OEM / Scorpion,76mm/3,,N/A,,"Only fits 2wd Manual, Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1509.65,SAUS073,OEM / Scorpion,70mm/2.75,Daytona (quad),83mm,,A new rear valance(8T0-807-521-H-1RR) and a new insert strip(8T0-807-791-B-2-ZZ) are required to fit this exhaust.
Scorpion,1747.6,SAUS073C,OEM / Scorpion,70mm/2.75,Daytona (quad),83mm,,A new rear valance(8T0-807-521-H-1RR) and a new insert strip(8T0-807-791-B-2-ZZ) are required to fit this exhaust.
Scorpion,1664.31,SAU073,OEM / Scorpion,70mm/2.75,Daytona (quad),83mm,,A new rear valance(8T0-807-521-H-1RR) and a new insert strip(8T0-807-791-B-2-ZZ) are required to fit this exhaust.
Scorpion,1902.25,SAU073C,OEM / Scorpion,70mm/2.75,Daytona (quad),83mm,,A new rear valance(8T0-807-521-H-1RR) and a new insert strip(8T0-807-791-B-2-ZZ) are required to fit this exhaust.
Scorpion,922.85,SAUC092,OEM / Scorpion,70mm/2.75,,,,
Scorpion,2115.75,SAUS088,OEM Only,63.5mm/2.5,Daytona,,,
Scorpion,2564.02,SAUS088CF,OEM Only,63.5mm/2.5,Ascari,,,
Scorpion,2679.52,SAU088CF,OEM Only,63.5mm/2.5,Ascari,,,
Scorpion,2220.75,SAU088,OEM Only,63.5mm/2.5,Daytona,,,
Scorpion,1035,SAUS030,OEM / Scorpion,63.5mm/2.5,Daytona,90mm,,
Scorpion,1093.28,SAUS030C,OEM / Scorpion,63.5mm/2.5,Daytona,90mm,,
Scorpion,208.18,SAUC030,OEM / Scorpion,63.5mm/2.5,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,272.42,SAUC054,OEM / Scorpion,70mm/2.75,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1435.88,SAUS080CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,If fitting with sports cat or decat downpipe we STRONGLY recommend the resonated system instead.
Scorpion,1528.49,SAU080CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,
Scorpion,1897.88,SAUS079CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,If fitting with sports cat or decat downpipe we STRONGLY recommend the resonated system instead.
Scorpion,1990.49,SAU079CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,
Scorpion,772.7,SAUC079,OEM / Scorpion,100mm/4,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,980.6,SAUX079,OEM / Scorpion,100mm/4,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,835.7,SAUC106,OEM / Scorpion,100mm/4,,,,
Scorpion,1043.6,SAUX106,OEM / Scorpion,100mm/4,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1875.7,SAUS106CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,If fitting with sports cat or decat downpipe we STRONGLY recommend the resonated system instead.
Scorpion,1409.5,SAUS107CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,If fitting with sports cat or decat downpipe we STRONGLY recommend the resonated system instread.
Scorpion,1968.31,SAU106CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,
Scorpion,1502.11,SAU107CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,
Scorpion,829.5,SAUC089,OEM / Scorpion,100mm/4,,,,
Scorpion,1207.5,SAUX089,OEM / Scorpion,100mm/4,,,,
Scorpion,2021.33,SAU083CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,Valves Require O.E. motors.
Scorpion,1928.72,SAUS083CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,Valves require O.E motors. If fitting with a Sports Cat or Decat downpipe we strongly recommend the Resonated system instead.
Scorpion,1466.72,SAUS084CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,If fitting with a Sports Cat or Decat downpipe we strongly recommend the Resonated system instead.
Scorpion,1559.33,SAU084CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,
Scorpion,1962.35,SAU083,OEM / Scorpion,80mm/3.15,EVO,160mm x 95mm,Valved,Valves require O.E motors.
Scorpion,1500.35,SAU084,OEM / Scorpion,80mm/3.15,EVO,160mm x 95mm,Non-valved,
Scorpion,2080.7,SAU048SYS,OEM / Scorpion,63.5mm/2.5,OE Fitment,N/A,Valved,RS4 12-15 / RS5 10-15
Scorpion,1545.36,SAU048,OEM / Scorpion,63.5mm/2.5,OE Fitment,N/A,Valved,RS4 12-15 / RS5 10-15
Scorpion,1048.95,SAU087U,,,Ascari RS,170 x 120mm,,Replaces OE in-bumper tailpipe trims
