Manufacturer,Price,Reference,Name,Range
Tein,552,GSA16-8USS2,ACURA CL YA1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSA16-9USS2,ACURA CL YA1 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,588,GSH94-8USS2,ACURA CL YA4 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,636,GSH94-9USS2,ACURA CL YA4 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,852,VSH94-CUSS3,ACURA CL YA4 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,576,GSA32-8USS2,ACURA INTEGRA DA9 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,1320,GSA00-7USS1,ACURA INTEGRA DC2 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,552,GSH96-8USS2,ACURA INTEGRA DC2 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSH96-9USS2,ACURA INTEGRA DC2 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,168,SKA18-S3B00,ACURA INTEGRA DC2 TEIN SPRINGS S.TECH,STECH
Tein,816,VSA00-CUSS1,ACURA INTEGRA DC2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1320,GSH48-71SS1,ACURA INTEGRA DC2 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,816,VSH48-CUSA1,ACURA INTEGRA DC2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,816,VSH48-CUSS1,ACURA INTEGRA DC2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1320,GSH14-71SS1,ACURA NSX NA1 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,204,SKA66-S3B00,ACURA NSX NA1 TEIN SPRINGS S.TECH,STECH
Tein,816,VSH14-C1SS3,ACURA NSX NA1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,876,VSB22-C1AA3,ACURA RL KB1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,876,VSB22-C1AS3,ACURA RL KB1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,576,GSA28-8USS2,ACURA RSX DC5 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,660,GSA28-9USS2,ACURA RSX DC5 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,1092,VSA02-C1SA1,ACURA RSX DC5 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1092,VSA02-C1SS1,ACURA RSX DC5 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,168,SKB04-S3B00,ACURA RSX DC5 TEIN SPRINGS S.TECH,STECH
Tein,576,GSA80-8USS2,ACURA TL UA6 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,636,GSA80-9USS2,ACURA TL UA6 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,852,VSHD6-CUSS4,ACURA TLX UB1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1320,GSB48-71SS3,ACURA TSX CL9 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,576,GSB48-81SS2,ACURA TSX CL9 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSB48-91SS2,ACURA TSX CL9 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,150,SKA64-S3B00,ACURA TSX CL9 TEIN SPRINGS S.TECH,STECH
Tein,804,VSB48-C1SA3,ACURA TSX CL9 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,576,GSB78-8USS2,ACURA TSX CU2 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,636,GSB78-9USS2,ACURA TSX CU2 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,204,SKB90-G1B00,ACURA TSX CU2 TEIN SPRINGS HIGH.TECH,HIGHTECH
Tein,204,SKB90-S3B00,ACURA TSX CU2 TEIN SPRINGS S.TECH,STECH
Tein,816,VSB90-C1SA3,ACURA TSX CU2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,816,VSB90-C1SS3,ACURA TSX CU2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,444,VSA64-A1DS2,ACURA TSX CL9 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,516,VSA64-B1DS2,ACURA TSX CL9 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,192,SKJ36-S3B00,AUDI A3 8P TEIN SPRINGS S.TECH,STECH
Tein,672,GSF98-91AS2,AUDI A3 SPORTBACK 8V TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,174,SKF98-S3B00,AUDI A3 SPORTBACK 8V TEIN SPRINGS S.TECH,STECH
Tein,900,VSF98-C1AS3,AUDI A3 SPORTBACK 8V TEIN COILOVERS FLEX Z,FLEX-Z
Tein,180,SKG80-AUB00,AUDI A4 (B6) B6 TEIN SPRINGS S.TECH,STECH
Tein,180,SKG80-S3B00,AUDI A4 (B6) B6 TEIN SPRINGS S.TECH,STECH
Tein,222,SKGB4-S3B00,AUDI A4 (B8) B8 TEIN SPRINGS S.TECH,STECH
Tein,168,SKG70-AUB00,AUDI A4 QUATTRO B6 TEIN SPRINGS S.TECH,STECH
Tein,168,SKG70-S3B00,AUDI A4 QUATTRO B6 TEIN SPRINGS S.TECH,STECH
Tein,168,SKJ30-AUB00,AUDI A4 QUATTRO B7 TEIN SPRINGS S.TECH,STECH
Tein,684,GSGB4-91AS2,AUDI A4L (B8) B8 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,804,VSGB4-C1AA2,AUDI A4L (B8) B8 TEIN COILOVERS FLEX Z,FLEX-Z
