reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
GSA16-8USS2;345;460;460;414;552;;;0,15
GSA16-9USS2;390;520;520;468;624;;;0,15
GSH94-8USS2;367,5;490;490;441;588;;;0,15
GSH94-9USS2;397,5;530;530;477;636;;;0,15
VSH94-CUSS3;532,5;710;710;639;852;;;0,15
GSA32-8USS2;360;480;480;432;576;;;0,15
GSA00-7USS1;825;1100;1100;990;1320;;;0,15
GSH96-8USS2;345;460;460;414;552;;;0,15
GSH96-9USS2;390;520;520;468;624;;;0,15
SKA18-S3B00;98;140;140;117,6;168;;;0,2
VSA00-CUSS1;510;680;680;612;816;;;0,15
GSH48-71SS1;825;1100;1100;990;1320;;;0,15
VSH48-CUSA1;510;680;680;612;816;;;0,15
VSH48-CUSS1;510;680;680;612;816;;;0,15
GSH14-71SS1;825;1100;1100;990;1320;;;0,15
SKA66-S3B00;119;170;170;142,8;204;;;0,2
VSH14-C1SS3;510;680;680;612;816;;;0,15
VSB22-C1AA3;547,5;730;730;657;876;;;0,15
VSB22-C1AS3;547,5;730;730;657;876;;;0,15
GSA28-8USS2;360;480;480;432;576;;;0,15
GSA28-9USS2;412,5;550;550;495;660;;;0,15
VSA02-C1SA1;682,5;910;910;819;1092;;;0,15
VSA02-C1SS1;682,5;910;910;819;1092;;;0,15
SKB04-S3B00;98;140;140;117,6;168;;;0,2
GSA80-8USS2;360;480;480;432;576;;;0,15
GSA80-9USS2;397,5;530;530;477;636;;;0,15
VSHD6-CUSS4;532,5;710;710;639;852;;;0,15
GSB48-71SS3;825;1100;1100;990;1320;;;0,15
GSB48-81SS2;360;480;480;432;576;;;0,15
GSB48-91SS2;390;520;520;468;624;;;0,15
SKA64-S3B00;87,5;125;125;105;150;;;0,2
VSB48-C1SA3;502,5;670;670;603;804;;;0,15
GSB78-8USS2;360;480;480;432;576;;;0,15
GSB78-9USS2;397,5;530;530;477;636;;;0,15
SKB90-G1B00;119;170;170;142,8;204;;;0,2
SKB90-S3B00;119;170;170;142,8;204;;;0,2
VSB90-C1SA3;510;680;680;612;816;;;0,15
VSB90-C1SS3;510;680;680;612;816;;;0,15
VSA64-A1DS2;222;370;370;266,4;444;;;0,3
VSA64-B1DS2;258;430;430;309,6;516;;;0,3
SKJ36-S3B00;112;160;160;134,4;192;;;0,2
GSF98-91AS2;420;560;560;504;672;;;0,15
SKF98-S3B00;101,5;145;145;121,8;174;;;0,2
VSF98-C1AS3;562,5;750;750;675;900;;;0,15
SKG80-AUB00;105;150;150;126;180;;;0,2
SKG80-S3B00;105;150;150;126;180;;;0,2
SKGB4-S3B00;129,5;185;185;155,4;222;;;0,2
SKG70-AUB00;98;140;140;117,6;168;;;0,2
SKG70-S3B00;98;140;140;117,6;168;;;0,2
SKJ30-AUB00;98;140;140;117,6;168;;;0,2
GSGB4-91AS2;427,5;570;570;513;684;;;0,15
VSGB4-C1AA2;502,5;670;670;603;804;;;0,15
SKGF6-S5B00;119;170;170;142,8;204;;;0,2
VSGF6-C1AA3;547,5;730;730;657;876;;;0,15
GSAGL-91AA2;427,5;570;570;513;684;;;0,15
SKG08-S3B00;105;150;150;126;180;;;0,2
VSGB4-A1DS2;234;390;390;280,8;468;;;0,3
VSGB4-B1DS2;270;450;450;324;540;;;0,3
VSGF6-A1DS2;234;390;390;280,8;468;;;0,3
VSGF6-B1DS2;270;450;450;324;540;;;0,3
VSAJE-B1DS2;270;450;450;324;540;;;0,3
GSJ14-91AS2;420;560;560;504;672;;;0,15
GSGA8-91AS3;450;600;600;540;720;;;0,15
SKG88-AUB00;112;160;160;134,4;192;;;0,2
SKG88-S3B00;112;160;160;134,4;192;;;0,2
SKG72-S3B00;105;150;150;126;180;;;0,2
SKJ14-S3B00;98;140;140;117,6;168;;;0,2
SKGA8-S3B00;119;170;170;142,8;204;;;0,2
SKGA8-S5B00;119;170;170;142,8;204;;;0,2
