reference;wholesale_price;price;;;;;;discount
TS-0101-1101;36,975;73,95;;;;;;0
TS-0101-1102;36,975;73,95;;;;;;0
TS-0105-1101;119,475;238,95;;;;;;0
TS-0105-1102;119,475;238,95;;;;;;0
TS-0106-1001;59,3;118,6;;;;;;0
TS-0106-1002;59,3;118,6;;;;;;0
TS-0301-1002;298,875;597,75;;;;;;0
TS-0301-1003;298,875;597,75;;;;;;0
TS-0301-1011;298,875;597,75;;;;;;0
TS-0301-1013;298,875;597,75;;;;;;0
TS-0301-1103;337,975;675,95;;;;;;0
TS-0301-1120;337,975;675,95;;;;;;0
TS-0301-1121;362,475;724,95;;;;;;0
TS-0301-2003;75,575;151,15;;;;;;0
TS-0301-3003;58,975;117,95;;;;;;0
TS-0302-1002;194,975;389,95;;;;;;0
TS-0305-1001;296,85;593,7;;;;;;0
TS-0101-2023;26,745;53,49;;;;;;0
TS-0101-2024;15,725;31,45;;;;;;0
TS-0101-2025;26,745;53,49;;;;;;0
TS-0701-1011;55,1;110,2;;;;;;0
TS-0701-1012;71,9;143,8;;;;;;0
TS-0701-1013;71,9;143,8;;;;;;0
TS-0701-2011;99,725;199,45;;;;;;0
TS-0701-2012;99,725;199,45;;;;;;0
TS-0701-3011;52,475;104,95;;;;;;0
TS-0740-1002;12,87;25,74;;;;;;0
TS-0101-3001;7,35;14,7;;;;;;0
TS-0105-3001;7,35;14,7;;;;;;0
TS-0105-3002;15,475;30,95;;;;;;0
TS-0105-3005;6,375;12,75;;;;;;0
TS-0301-2001;33,575;67,15;;;;;;0
TS-0301-2002;33,575;67,15;;;;;;0
TS-0301-2007;22,55;45,1;;;;;;0
TS-0301-2008;5,225;10,45;;;;;;0
TS-0301-2009;5,225;10,45;;;;;;0
TS-0301-2010;5,225;10,45;;;;;;0
TS-0301-2011;5,225;10,45;;;;;;0
TS-0301-2012;24,125;48,25;;;;;;0
TS-0301-2013;36,725;73,45;;;;;;0
TS-0301-2014;36,725;73,45;;;;;;0
TS-0301-2018;33,575;67,15;;;;;;0
TS-0301-2020;33,575;67,15;;;;;;0
TS-0301-3002;54,975;109,95;;;;;;0
TS-0301-3005;249,975;499,95;;;;;;0
TS-0301-3006;249,975;499,95;;;;;;0
TS-0302-3002;35,675;71,35;;;;;;0
TS-0302-3005;146,975;293,95;;;;;;0
TS-0203-1008;183,975;367,95;;;;;;0
TS-0203-1025;193,925;387,85;;;;;;0
TS-0203-1032;97,975;195,95;;;;;;0
TS-0203-1050;239,975;479,95;;;;;;0
TS-0203-1061;94,975;189,95;;;;;;0
TS-0203-1250;139,975;279,95;;;;;;0
TS-0203-1271;74,975;149,95;;;;;;0
TS-0203-1308;86,475;172,95;;;;;;0
TS-0203-2001;14,975;29,95;;;;;;0
TS-0204-1131;142,975;285,95;;;;;;0
TS-0204-1132;142,975;285,95;;;;;;0
TS-0204-1133;142,975;285,95;;;;;;0
TS-0204-1134;142,975;285,95;;;;;;0
TS-0204-1135;147,975;295,95;;;;;;0
TS-0204-1141;137,475;274,95;;;;;;0
TS-0204-1142;137,475;274,95;;;;;;0
TS-0204-1143;137,475;274,95;;;;;;0
TS-0204-1144;137,475;274,95;;;;;;0
TS-0204-1152;142,475;284,95;;;;;;0
TS-0204-1162;142,475;284,95;;;;;;0
TS-0204-1192;144,975;289,95;;;;;;0
TS-0204-1203;196,475;392,95;;;;;;0
TS-0204-1232;214,975;429,95;;;;;;0
TS-0204-1242;214,975;429,95;;;;;;0
TS-0204-1303;204,725;409,45;;;;;;0
TS-0204-1405;147,975;295,95;;;;;;0
TS-0204-1415;147,975;295,95;;;;;;0
TS-0204-1425;144,975;289,95;;;;;;0
TS-0204-1435;144,975;289,95;;;;;;0
TS-0205-1009;159,975;319,95;;;;;;0
TS-0205-1010;159,975;319,95;;;;;;0
TS-0205-1130;94,475;188,95;;;;;;0
TS-0205-1131;94,475;188,95;;;;;;0
TS-0205-1309;127,475;254,95;;;;;;0
TS-0207-1001;224,975;449,95;;;;;;0
TS-0207-1002;224,975;449,95;;;;;;0
TS-0207-1003;224,975;449,95;;;;;;0
TS-0207-1102;317,475;634,95;;;;;;0
TS-0208-1111;184,975;369,95;;;;;;0
TS-0208-1112;184,975;369,95;;;;;;0
TS-0208-1113;184,975;369,95;;;;;;0
TS-0208-1114;184,975;369,95;;;;;;0
TS-0208-1115;189,975;379,95;;;;;;0
TS-0208-1132;184,975;369,95;;;;;;0
TS-0208-1212;249,975;499,95;;;;;;0
TS-0223-1050;114,975;229,95;;;;;;0
TS-0223-1055;244,975;489,95;;;;;;0
TS-0223-1063;114,975;229,95;;;;;;0
TS-0223-1068;114,975;229,95;;;;;;0
TS-0223-1077;114,975;229,95;;;;;;0
TS-0223-1078;114,975;229,95;;;;;;0
TS-0223-1080;114,975;229,95;;;;;;0
TS-0223-1082;114,975;229,95;;;;;;0
TS-0223-1084;114,975;229,95;;;;;;0
TS-0223-1085;224,375;448,75;;;;;;0
TS-0223-1087;114,975;229,95;;;;;;0
TS-0223-1089;127,475;254,95;;;;;;0
TS-0223-1092;114,975;229,95;;;;;;0
TS-0223-1094;114,975;229,95;;;;;;0
TS-0223-1097;224,375;448,75;;;;;;0
TS-0223-1255;227,975;455,95;;;;;;0
TS-0223-1263;108,475;216,95;;;;;;0
TS-0223-1268;108,475;216,95;;;;;;0
TS-0223-1277;108,475;216,95;;;;;;0
TS-0223-1278;108,475;216,95;;;;;;0
TS-0223-1280;108,475;216,95;;;;;;0
TS-0223-1282;104,975;209,95;;;;;;0
TS-0223-1284;108,475;216,95;;;;;;0
TS-0223-1285;209,075;418,15;;;;;;0
TS-0223-1287;108,475;216,95;;;;;;0
TS-0223-1289;114,975;229,95;;;;;;0
TS-0223-1294;108,475;216,95;;;;;;0
TS-0223-1297;209,075;418,15;;;;;;0
TS-0224-1135;169,975;339,95;;;;;;0
TS-0224-1145;167,475;334,95;;;;;;0
TS-0224-1405;174,975;349,95;;;;;;0
TS-0224-1425;174,975;349,95;;;;;;0
TS-0225-1202;174,975;349,95;;;;;;0
TS-0304-1001;272,975;545,95;;;;;;0
TS-0304-1002;272,975;545,95;;;;;;0
TS-0304-1003;117,975;235,95;;;;;;0
TS-0304-1005;246,725;493,45;;;;;;0
TS-0304-1006;196,85;393,7;;;;;;0
TS-0304-1009;272,975;545,95;;;;;;0
TS-0304-1102;297,475;594,95;;;;;;0
TS-0203-1009;99,975;199,95;;;;;;0
TS-0203-1010;99,975;199,95;;;;;;0
TS-0203-1015;99,975;199,95;;;;;;0
TS-0203-1016;99,975;199,95;;;;;;0
TS-0203-1017;94,975;189,95;;;;;;0
TS-0203-1018;94,975;189,95;;;;;;0
TS-0203-1021;94,975;189,95;;;;;;0
TS-0203-1022;94,975;189,95;;;;;;0
TS-0203-1023;94,975;189,95;;;;;;0
TS-0203-1026;97,975;195,95;;;;;;0
TS-0203-1031;97,975;195,95;;;;;;0
TS-0203-1033;97,975;195,95;;;;;;0
TS-0203-1036;97,975;195,95;;;;;;0
TS-0203-1037;124,775;249,55;;;;;;0
TS-0203-1064;99,975;199,95;;;;;;0
TS-0203-1069;104,525;209,05;;;;;;0
TS-0203-1071;99,975;199,95;;;;;;0
TS-0203-1072;194,225;388,45;;;;;;0
TS-0203-1101;18,05;36,1;;;;;;0
TS-0203-1102;18,05;36,1;;;;;;0
TS-0203-1103;18,05;36,1;;;;;;0
TS-0203-1209;74,975;149,95;;;;;;0
TS-0203-1210;74,975;149,95;;;;;;0
TS-0203-1215;74,975;149,95;;;;;;0
TS-0203-1221;64,975;129,95;;;;;;0
TS-0203-1222;64,975;129,95;;;;;;0
TS-0203-1223;64,975;129,95;;;;;;0
TS-0203-1226;74,975;149,95;;;;;;0
TS-0203-1231;74,975;149,95;;;;;;0
TS-0203-1261;66,475;132,95;;;;;;0
TS-0203-1264;84,975;169,95;;;;;;0
TS-0203-1266;104,975;209,95;;;;;;0
TS-0203-2002;16,775;33,55;;;;;;0
TS-0223-1066;114,975;229,95;;;;;;0
TS-0223-1075;129,975;259,95;;;;;;0
TS-0223-1079;114,975;229,95;;;;;;0
TS-0223-1086;114,975;229,95;;;;;;0
TS-0223-1091;114,975;229,95;;;;;;0
TS-0223-1093;114,975;229,95;;;;;;0
TS-0223-1096;114,975;229,95;;;;;;0
TS-0223-1250;108,475;216,95;;;;;;0
TS-0223-1266;108,475;216,95;;;;;;0
TS-0223-1275;114,975;229,95;;;;;;0
TS-0223-1279;108,475;216,95;;;;;;0
TS-0223-1286;108,475;216,95;;;;;;0
TS-0223-1291;108,475;216,95;;;;;;0
TS-0223-1292;108,475;216,95;;;;;;0
TS-0223-1293;108,475;216,95;;;;;;0
